Episodes,Episodic Return,Scores,Epsilon
1,7,1,1.0
2,-4,0,0.9278424754944854
3,-4,0,0.8608916593317348
4,-7,0,0.7987718483269121
5,2,3,0.7411344491069477
6,3,1,0.6876560219336321
7,-14,0,0.6380364656795914
8,-12,1,0.5919973337719043
9,-3,0,0.5492802716530589
10,0,1,0.5096455669908576
11,6,1,0.4728708045015879
12,-5,0,0.43874961783782224
13,-5,0,0.4070905315369044
14,-5,0,0.37771588653156724
15,-5,0,0.3504608431930435
16,-4,1,0.32517245631211816
17,10,2,0.30170881682725814
18,-5,0,0.2799382554835155
19,-19,1,0.25973860395343273
20,-28,0,0.24099650927363475
21,-20,0,0.223606797749979
22,-9,1,0.20747188476173523
23,2,2,0.19250122715283505
24,7,1,0.17861081513721272
25,64,7,0.16572270086699933
26,67,7,0.15376456101806876
27,21,3,0.14266929093832778
28,9,1,0.132374628081261
29,63,7,0.12282280261157903
30,27,3,0.11396021322229805
31,86,9,0.10573712634405641
32,59,6,0.09810739705874247
33,58,6,0.09102821015130401
34,59,6,0.08445983984661817
35,75,8,0.07836542688315398
36,39,4,0.07271077167244769
37,59,6,0.06746414238367818
38,49,5,0.06259609687638439
39,39,4,0.05807931748207712
40,128,13,0.05388845770760058
41,149,15,0.05000000000000001
42,79,8,0.04639212377472428
43,60,6,0.043044582966586746
44,28,3,0.03993859241634561
45,50,5,0.03705672245534739
46,79,8,0.03438280109668161
47,19,2,0.03190182328397958
48,195,20,0.029599866688595225
49,58,6,0.02746401358265294
50,118,12,0.025482278349542874
