Episodes,Episodic Return,Scores,Epsilon
1,-106,0,1.0
2,-98,0,0.9278424754944854
3,-107,0,0.8608916593317348
4,-104,0,0.7987718483269121
5,-104,0,0.7411344491069477
6,-109,0,0.6876560219336321
7,-103,0,0.6380364656795914
8,-104,0,0.5919973337719043
9,-107,0,0.5492802716530589
10,-75,2,0.5096455669908576
11,-104,0,0.4728708045015879
12,-104,0,0.43874961783782224
13,-85,1,0.4070905315369044
14,-86,1,0.37771588653156724
15,-105,0,0.3504608431930435
16,-90,1,0.32517245631211816
17,-98,0,0.30170881682725814
18,-29,5,0.2799382554835155
19,-36,4,0.25973860395343273
20,-81,1,0.24099650927363475
21,-2,6,0.223606797749979
22,-75,2,0.20747188476173523
23,-43,4,0.19250122715283505
24,-44,4,0.17861081513721272
25,-31,4,0.16572270086699933
26,23,8,0.15376456101806876
27,-28,4,0.14266929093832778
28,-52,3,0.132374628081261
29,7,7,0.12282280261157903
30,-17,6,0.11396021322229805
31,-84,1,0.10573712634405641
32,181,16,0.09810739705874247
33,19,8,0.09102821015130401
34,61,10,0.08445983984661817
35,-53,3,0.07836542688315398
36,-86,1,0.07271077167244769
37,-54,3,0.06746414238367818
38,-84,1,0.06259609687638439
39,-41,4,0.05807931748207712
40,183,19,0.05388845770760058
41,118,14,0.05000000000000001
42,31,9,0.04639212377472428
43,-73,2,0.043044582966586746
44,7,7,0.03993859241634561
45,-11,6,0.03705672245534739
46,110,13,0.03438280109668161
47,-35,4,0.03190182328397958
48,31,8,0.029599866688595225
49,203,19,0.02746401358265294
50,16,8,0.025482278349542874
