Episodes,Episodic Return,Scores,Epsilon
1,-104,0,1.0
2,-100,0,0.9820078731719949
3,-104,0,0.9643394629717849
4,-102,0,0.9469889450487462
5,-101,0,0.9299505998447105
6,-102,0,0.9132188107085251
7,-106,0,0.8967880620445373
8,-97,0,0.8806529374943911
9,-106,0,0.8648081181515368
10,-103,0,0.849248380807866
11,-100,0,0.8339685962318929
12,-83,1,0.8189637274779153
13,-87,1,0.8042288282255969
14,-104,0,0.7897590411494241
15,-98,0,0.7755495963175
16,-75,2,0.7615958096191474
17,-74,2,0.7478930812208024
18,-100,0,0.7344368940496903
19,-70,2,0.7212228123047821
20,-41,5,0.708246479994544
21,-99,0,0.695503619500994
22,-101,0,0.6829900301695955
23,-55,3,0.6707015869245212
24,-99,0,0.6586342389088309
25,-106,0,0.6467840081491166
26,-100,0,0.6351469882441723
27,-101,0,0.6237193430772576
28,-68,2,0.6124973055515317
29,-67,2,0.6014771763482372
30,-85,1,0.5906553227072292
31,-60,3,0.5800281772294446
32,-102,0,0.5695922367009157
33,-101,0,0.5593440609379459
34,-100,0,0.5492802716530589
35,-88,1,0.5393975513413559
36,-74,2,0.5296926421869069
37,-97,0,0.520162344988819
38,-105,0,0.5108035181066276
39,-88,1,0.501613076424662
40,-67,2,0.4925879903350437
41,-75,2,0.48372528473898346
42,-85,1,0.47502203806604676
43,-41,4,0.466475381311065
44,-38,4,0.45808249708837434
45,-56,3,0.449840618703071
46,-61,3,0.4417470292389771
47,-84,1,0.433799060663015
48,-97,0,0.42599409294569657
49,-83,1,0.4183295531974366
50,-5,6,0.4108029148204056
51,-58,3,0.4034116966756427
52,-83,1,0.39615346226515386
53,-72,2,0.38902581892872584
54,-12,6,0.3820264170551917
55,-8,6,0.37515294930788634
56,-66,2,0.3684031498640387
57,-7,6,0.3617747936678483
58,2,7,0.35526569569700106
59,-65,2,0.3488737102423811
60,-40,4,0.34259673020074355
61,-50,4,0.336432686380112
62,-53,3,0.3303795468176745
63,-83,1,0.3244353161099521
64,-56,3,0.31859803475501786
65,-29,4,0.31286577850655245
66,-97,0,0.30723665773952
67,-4,7,0.30170881682725814
68,0,7,0.2962804335297748
69,-60,3,0.2909497183930507
70,-40,4,0.2857149141591506
71,19,8,0.28057429518694665
72,-67,2,0.2755261668832649
73,-57,3,0.27056886514426715
74,-84,1,0.2657007558068821
75,-83,1,0.26092023411010784
76,-43,4,0.25622572416600603
77,-65,2,0.2516156784402138
78,-24,5,0.24708857724180294
79,-68,2,0.24264292822231712
80,47,10,0.23827726588382261
81,-20,5,0.23399015109581062
82,-47,4,0.22978017062079073
83,-11,5,0.22564593664842078
84,-76,1,0.22158608633801843
85,-4,7,0.21759928136930348
86,76,12,0.21368420750122424
87,76,12,0.20983957413872048
88,-64,2,0.20606411390728202
89,-48,4,0.20235658223516173
90,-74,2,0.1987157569431051
91,-25,5,0.19514043784146168
92,-63,2,0.19162944633454568
93,2,6,0.18818162503211416
94,83,12,0.18479583736783625
95,-20,5,0.18147096722462674
96,-5,6,0.1782059185667205
97,-60,3,0.17499961507836692
98,-18,5,0.17185099980902488
99,-20,6,0.16875903482494142
100,35,9,0.16572270086699936
101,46,10,0.16274099701472075
102,1,8,0.1598129403563159
103,41,10,0.15693756566466868
104,-71,2,0.15411392507915156
105,0,7,0.1513410877931658
106,99,14,0.14861813974730292
107,1,7,0.14594418332802725
108,92,12,0.14331833707177977
109,-62,3,0.14073973537440554
110,-31,4,0.13820752820580934
111,-42,4,0.13572088082974534
112,-2,6,0.13327897352864798
113,-36,4,0.13088100133341424
114,-2,6,0.12852617375804715
115,-58,3,0.12621371453907418
116,-66,2,0.12394286137965348
117,54,10,0.1217128656982849
118,23,7,0.11952299238204143
119,-17,5,0.11737251954424106
120,21,8,0.11526073828647859
121,-55,3,0.11318695246493878
122,-83,1,0.11115047846091418
123,-69,2,0.10915064495545197
124,-21,6,0.10718679270805494
125,208,20,0.10525827433936454
126,62,10,0.10336445411775375
127,-20,5,0.10150470774975957
128,93,13,0.09967842217428631
129,77,11,0.09788499536051112
130,-12,6,0.09612383610942614
131,-19,6,0.09439436385895097
132,-2,8,0.09269600849255183
133,14,8,0.09102821015130401
134,-56,3,0.08939041904933547
135,-28,5,0.0877820952925913
136,134,14,0.08620270870085898
137,181,18,0.08465173863299552
138,-38,4,0.08312867381529954
139,-17,5,0.08163301217297081
140,90,13,0.08016426066460265
141,0,5,0.07872193511965186
142,-46,4,0.0773055600788331
143,148,15,0.07591466863738475
144,50,9,0.07454880229115494
145,-72,2,0.07320751078545662
146,-71,2,0.07189035196664215
147,-38,4,0.0705968916363484
148,29,9,0.06932670340836426
149,54,10,0.06807936856807349
150,116,14,0.06685447593442621
151,75,11,0.0656516217243942
152,192,18,0.0644704094198647
153,26,8,0.06331044963692908
154,-55,3,0.062171359997523414
155,5,7,0.06105276500337841
156,97,13,0.05995429591223724
157,102,13,0.05887559061630053
158,170,17,0.05781629352285835
159,111,13,0.05677605543706989
160,15,8,0.05575453344685229
161,101,14,0.05475139080984028
162,189,19,0.05376629684237997
163,61,11,0.0527989268105197
164,152,17,0.05184896182296225
165,34,8,0.05091608872594313
166,56,10,0.05000000000000001
167,7,7,0.04910039365859976
168,47,10,0.04821697314858926
169,75,10,0.04734944725243731
170,127,15,0.046497529992235526
171,-22,5,0.045660940535426256
172,-79,1,0.04483940310222687
173,50,9,0.04403264687471957
174,-85,1,0.04324040590757686
175,57,11,0.0424624190403933
176,82,12,0.04169842981159465
177,33,9,0.04094818637389577
178,3,6,0.04021144141127986
179,-42,4,0.039487952057471215
180,-47,4,0.038777479815874996
181,161,17,0.038079790480957366
182,143,15,0.03739465406104013
183,2,6,0.036721844702484525
184,114,13,0.036061140615239115
185,110,14,0.03541232399972721
186,70,11,0.0347751809750497
187,76,11,0.03414950150847978
188,95,13,0.033535079346226064
189,98,13,0.032931711945441554
190,16,8,0.032339200407455845
191,-27,5,0.03175734941220861
192,-12,6,0.031185967153862886
193,105,12,0.030624865277576588
194,39,9,0.030073858817411862
195,68,11,0.029532766135361474
196,124,14,0.029001408861472226
197,152,16,0.02847961183504579
198,206,20,0.027967203046897295
199,240,21,0.027464013582652953
200,81,12,0.026969877567067806
