Episodes,Episodic Return,Scores,Epsilon
1,4,1,1.0
2,-6,1,0.9820078731719949
3,-8,0,0.9643394629717849
4,-10,0,0.9469889450487462
5,-8,0,0.9299505998447105
6,-4,0,0.9132188107085251
7,-18,0,0.8967880620445373
8,-3,0,0.8806529374943911
9,-5,0,0.8648081181515368
10,-5,0,0.849248380807866
11,-10,0,0.8339685962318929
12,-8,0,0.8189637274779153
13,-6,0,0.8042288282255969
14,-7,0,0.7897590411494241
15,-4,0,0.7755495963175
16,-6,0,0.7615958096191474
17,-6,0,0.7478930812208024
18,-3,0,0.7344368940496903
19,-22,0,0.7212228123047821
20,-6,0,0.708246479994544
21,-5,1,0.695503619500994
22,-15,1,0.6829900301695955
23,-11,0,0.6707015869245212
24,-9,0,0.6586342389088309
25,-6,0,0.6467840081491166
26,-16,0,0.6351469882441723
27,-7,0,0.6237193430772576
28,0,1,0.6124973055515317
29,-1,1,0.6014771763482372
30,-13,0,0.5906553227072292
31,-10,0,0.5800281772294446
32,-13,0,0.5695922367009157
33,-2,1,0.5593440609379459
34,12,3,0.5492802716530589
35,-2,0,0.5393975513413559
36,-1,1,0.5296926421869069
37,51,6,0.520162344988819
38,10,3,0.5108035181066276
39,13,2,0.501613076424662
40,2,1,0.4925879903350437
41,8,1,0.48372528473898346
42,23,3,0.47502203806604676
43,26,3,0.466475381311065
44,31,4,0.45808249708837434
45,-6,0,0.449840618703071
46,2,1,0.4417470292389771
47,7,1,0.433799060663015
48,7,1,0.42599409294569657
49,24,3,0.4183295531974366
50,19,2,0.4108029148204056
51,18,2,0.4034116966756427
52,45,5,0.39615346226515386
53,9,1,0.38902581892872584
54,7,1,0.3820264170551917
55,9,1,0.37515294930788634
56,18,2,0.3684031498640387
57,7,1,0.3617747936678483
58,8,1,0.35526569569700106
59,16,2,0.3488737102423811
60,6,1,0.34259673020074355
61,12,2,0.336432686380112
62,11,2,0.3303795468176745
63,36,4,0.3244353161099521
64,-2,0,0.31859803475501786
65,19,3,0.31286577850655245
66,38,4,0.30723665773952
67,17,2,0.30170881682725814
68,20,3,0.2962804335297748
69,8,1,0.2909497183930507
70,7,1,0.2857149141591506
71,38,5,0.28057429518694665
72,49,7,0.2755261668832649
73,53,6,0.27056886514426715
74,6,1,0.2657007558068821
75,37,4,0.26092023411010784
76,26,3,0.25622572416600603
77,8,1,0.2516156784402138
78,97,11,0.24708857724180294
79,34,4,0.24264292822231712
80,86,9,0.23827726588382261
81,43,5,0.23399015109581062
82,53,6,0.22978017062079073
83,16,2,0.22564593664842078
84,44,5,0.22158608633801843
85,58,7,0.21759928136930348
86,9,1,0.21368420750122424
87,55,6,0.20983957413872048
88,33,4,0.20606411390728202
89,55,6,0.20235658223516173
90,36,4,0.1987157569431051
91,87,9,0.19514043784146168
92,38,4,0.19162944633454568
93,36,4,0.18818162503211416
94,36,4,0.18479583736783625
95,47,5,0.18147096722462674
96,19,2,0.1782059185667205
97,56,6,0.17499961507836692
98,9,1,0.17185099980902488
99,57,6,0.16875903482494142
100,28,3,0.16572270086699936
101,26,3,0.16274099701472075
102,63,7,0.1598129403563159
103,18,2,0.15693756566466868
104,88,9,0.15411392507915156
105,18,2,0.1513410877931658
106,39,4,0.14861813974730292
107,71,8,0.14594418332802725
108,9,1,0.14331833707177977
109,45,6,0.14073973537440554
110,56,6,0.13820752820580934
111,26,3,0.13572088082974534
112,9,1,0.13327897352864798
113,75,8,0.13088100133341424
114,87,9,0.12852617375804715
115,107,11,0.12621371453907418
116,48,5,0.12394286137965348
117,95,10,0.1217128656982849
118,95,10,0.11952299238204143
119,57,6,0.11737251954424106
120,68,7,0.11526073828647859
121,118,12,0.11318695246493878
122,9,1,0.11115047846091418
123,49,5,0.10915064495545197
124,178,19,0.10718679270805494
125,78,8,0.10525827433936454
126,33,4,0.10336445411775375
127,9,1,0.10150470774975957
128,46,5,0.09967842217428631
129,18,2,0.09788499536051112
130,47,5,0.09612383610942614
131,58,6,0.09439436385895097
132,27,3,0.09269600849255183
133,126,13,0.09102821015130401
134,38,4,0.08939041904933547
135,76,8,0.0877820952925913
136,116,12,0.08620270870085898
137,98,10,0.08465173863299552
138,9,1,0.08312867381529954
139,47,5,0.08163301217297081
140,48,5,0.08016426066460265
141,39,4,0.07872193511965186
142,7,1,0.0773055600788331
143,19,2,0.07591466863738475
144,8,1,0.07454880229115494
145,68,7,0.07320751078545662
146,8,1,0.07189035196664215
147,48,5,0.0705968916363484
148,88,9,0.06932670340836426
149,19,2,0.06807936856807349
150,64,7,0.06685447593442621
151,139,14,0.0656516217243942
152,97,10,0.0644704094198647
153,150,15,0.06331044963692908
154,115,12,0.062171359997523414
155,88,9,0.06105276500337841
156,-1,0,0.05995429591223724
157,102,11,0.05887559061630053
158,111,12,0.05781629352285835
159,118,12,0.05677605543706989
160,87,9,0.05575453344685229
161,47,5,0.05475139080984028
162,87,9,0.05376629684237997
163,106,11,0.0527989268105197
164,73,8,0.05184896182296225
165,93,10,0.05091608872594313
166,28,3,0.05000000000000001
167,104,11,0.04910039365859976
168,27,3,0.04821697314858926
169,58,6,0.04734944725243731
170,158,16,0.046497529992235526
171,157,16,0.045660940535426256
172,238,24,0.04483940310222687
173,60,6,0.04403264687471957
174,106,11,0.04324040590757686
175,125,13,0.0424624190403933
176,19,2,0.04169842981159465
177,58,6,0.04094818637389577
178,49,5,0.04021144141127986
179,108,11,0.039487952057471215
180,39,4,0.038777479815874996
181,59,6,0.038079790480957366
182,140,14,0.03739465406104013
183,57,6,0.036721844702484525
184,68,7,0.036061140615239115
185,119,12,0.03541232399972721
186,108,11,0.0347751809750497
187,118,12,0.03414950150847978
188,129,13,0.033535079346226064
189,159,16,0.032931711945441554
190,98,10,0.032339200407455845
191,78,8,0.03175734941220861
192,39,4,0.031185967153862886
193,59,6,0.030624865277576588
194,200,20,0.030073858817411862
195,59,6,0.029532766135361474
196,69,7,0.029001408861472226
197,27,3,0.02847961183504579
198,158,16,0.027967203046897295
199,95,10,0.027464013582652953
200,88,9,0.026969877567067806
