Episodes,Episodic Return,Scores,Epsilon
1,-3,0,1.0
2,0,0,0.9820078731719949
3,-4,0,0.9643394629717849
4,-2,0,0.9469889450487462
5,-4,0,0.9299505998447105
6,1,0,0.9132188107085251
7,-4,0,0.8967880620445373
8,9,1,0.8806529374943911
9,-4,0,0.8648081181515368
10,43,3,0.849248380807866
11,9,1,0.8339685962318929
12,12,1,0.8189637274779153
13,8,1,0.8042288282255969
14,3,0,0.7897590411494241
15,5,0,0.7755495963175
16,-2,0,0.7615958096191474
17,17,1,0.7478930812208024
18,-3,0,0.7344368940496903
19,19,1,0.7212228123047821
20,27,2,0.708246479994544
21,-3,0,0.695503619500994
22,-1,0,0.6829900301695955
23,2,0,0.6707015869245212
24,81,5,0.6586342389088309
25,6,0,0.6467840081491166
26,2,0,0.6351469882441723
27,45,3,0.6237193430772576
28,15,1,0.6124973055515317
29,26,2,0.6014771763482372
30,-4,0,0.5906553227072292
31,-2,0,0.5800281772294446
32,70,5,0.5695922367009157
33,12,1,0.5593440609379459
34,56,4,0.5492802716530589
35,28,2,0.5393975513413559
36,-4,0,0.5296926421869069
37,4,0,0.520162344988819
38,2,0,0.5108035181066276
39,45,3,0.501613076424662
40,1,0,0.4925879903350437
41,44,3,0.48372528473898346
42,31,2,0.47502203806604676
43,14,1,0.466475381311065
44,14,1,0.45808249708837434
45,20,1,0.449840618703071
46,28,2,0.4417470292389771
47,52,3,0.433799060663015
48,62,4,0.42599409294569657
49,48,3,0.4183295531974366
50,3,0,0.4108029148204056
51,12,1,0.4034116966756427
52,17,1,0.39615346226515386
53,13,1,0.38902581892872584
54,97,6,0.3820264170551917
55,86,6,0.37515294930788634
56,14,1,0.3684031498640387
57,41,2,0.3617747936678483
58,58,4,0.35526569569700106
59,38,3,0.3488737102423811
60,33,2,0.34259673020074355
61,14,1,0.336432686380112
62,60,4,0.3303795468176745
63,77,5,0.3244353161099521
64,58,4,0.31859803475501786
65,12,1,0.31286577850655245
66,73,4,0.30723665773952
67,73,5,0.30170881682725814
68,18,1,0.2962804335297748
69,32,2,0.2909497183930507
70,115,7,0.2857149141591506
71,89,6,0.28057429518694665
72,13,1,0.2755261668832649
73,76,5,0.27056886514426715
74,28,2,0.2657007558068821
75,13,1,0.26092023411010784
76,32,2,0.25622572416600603
77,100,6,0.2516156784402138
78,1,0,0.24708857724180294
79,105,8,0.24264292822231712
80,69,4,0.23827726588382261
81,4,0,0.23399015109581062
82,34,2,0.22978017062079073
83,40,2,0.22564593664842078
84,59,4,0.22158608633801843
85,111,7,0.21759928136930348
86,29,2,0.21368420750122424
87,49,3,0.20983957413872048
88,55,3,0.20606411390728202
89,143,9,0.20235658223516173
90,82,5,0.1987157569431051
91,14,1,0.19514043784146168
92,84,6,0.19162944633454568
93,79,5,0.18818162503211416
94,14,1,0.18479583736783625
95,14,1,0.18147096722462674
96,105,7,0.1782059185667205
97,49,3,0.17499961507836692
98,214,14,0.17185099980902488
99,64,4,0.16875903482494142
100,86,5,0.16572270086699936
101,103,7,0.16274099701472075
102,56,3,0.1598129403563159
103,59,4,0.15693756566466868
104,61,4,0.15411392507915156
105,145,9,0.1513410877931658
106,84,5,0.14861813974730292
107,119,8,0.14594418332802725
108,114,8,0.14331833707177977
109,136,8,0.14073973537440554
110,120,7,0.13820752820580934
111,168,11,0.13572088082974534
112,88,6,0.13327897352864798
113,43,3,0.13088100133341424
114,63,4,0.12852617375804715
115,94,7,0.12621371453907418
116,2,0,0.12394286137965348
117,26,2,0.1217128656982849
118,16,1,0.11952299238204143
119,48,3,0.11737251954424106
120,71,4,0.11526073828647859
121,53,4,0.11318695246493878
122,100,7,0.11115047846091418
123,56,4,0.10915064495545197
124,132,9,0.10718679270805494
125,36,2,0.10525827433936454
126,94,6,0.10336445411775375
127,138,9,0.10150470774975957
128,108,7,0.09967842217428631
129,108,7,0.09788499536051112
130,58,4,0.09612383610942614
131,91,6,0.09439436385895097
132,59,4,0.09269600849255183
133,53,4,0.09102821015130401
134,16,1,0.08939041904933547
135,68,5,0.0877820952925913
136,66,4,0.08620270870085898
137,76,5,0.08465173863299552
138,55,4,0.08312867381529954
139,55,4,0.08163301217297081
140,91,6,0.08016426066460265
141,12,1,0.07872193511965186
142,134,8,0.0773055600788331
143,114,7,0.07591466863738475
144,4,0,0.07454880229115494
145,21,1,0.07320751078545662
146,115,8,0.07189035196664215
147,5,0,0.0705968916363484
148,163,11,0.06932670340836426
149,76,5,0.06807936856807349
150,119,8,0.06685447593442621
151,117,7,0.0656516217243942
152,253,16,0.0644704094198647
153,100,7,0.06331044963692908
154,177,12,0.062171359997523414
155,14,1,0.06105276500337841
156,113,6,0.05995429591223724
157,70,5,0.05887559061630053
158,132,9,0.05781629352285835
159,92,7,0.05677605543706989
160,92,6,0.05575453344685229
161,242,16,0.05475139080984028
162,178,12,0.05376629684237997
163,89,6,0.0527989268105197
164,34,2,0.05184896182296225
165,61,4,0.05091608872594313
166,138,8,0.05000000000000001
167,175,11,0.04910039365859976
168,154,10,0.04821697314858926
169,63,5,0.04734944725243731
170,126,8,0.046497529992235526
171,185,12,0.045660940535426256
172,163,12,0.04483940310222687
173,238,16,0.04403264687471957
174,242,16,0.04324040590757686
175,159,11,0.0424624190403933
176,159,10,0.04169842981159465
177,76,4,0.04094818637389577
178,164,11,0.04021144141127986
179,8,1,0.039487952057471215
180,120,8,0.038777479815874996
181,209,14,0.038079790480957366
182,195,13,0.03739465406104013
183,186,12,0.036721844702484525
184,179,11,0.036061140615239115
185,80,5,0.03541232399972721
186,187,12,0.0347751809750497
187,172,11,0.03414950150847978
188,42,3,0.033535079346226064
189,63,4,0.032931711945441554
190,124,8,0.032339200407455845
191,152,10,0.03175734941220861
192,95,6,0.031185967153862886
193,91,6,0.030624865277576588
194,60,4,0.030073858817411862
195,90,6,0.029532766135361474
196,106,7,0.029001408861472226
197,183,11,0.02847961183504579
198,94,6,0.027967203046897295
199,180,12,0.027464013582652953
200,315,20,0.026969877567067806
