Episodes,Episodic Return,Scores,Epsilon
1,-8,0,1.0
2,-4,0,0.9820078731719949
3,-4,1,0.9643394629717849
4,5,2,0.9469889450487462
5,-6,0,0.9299505998447105
6,-2,0,0.9132188107085251
7,-5,0,0.8967880620445373
8,3,1,0.8806529374943911
9,-5,0,0.8648081181515368
10,2,1,0.849248380807866
11,-4,0,0.8339685962318929
12,-9,0,0.8189637274779153
13,-7,0,0.8042288282255969
14,-8,0,0.7897590411494241
15,-9,0,0.7755495963175
16,-10,0,0.7615958096191474
17,8,1,0.7478930812208024
18,-9,0,0.7344368940496903
19,-5,0,0.7212228123047821
20,-7,0,0.708246479994544
21,-6,0,0.695503619500994
22,-6,0,0.6829900301695955
23,-7,0,0.6707015869245212
24,-5,0,0.6586342389088309
25,-5,0,0.6467840081491166
26,-6,0,0.6351469882441723
27,-7,0,0.6237193430772576
28,-6,0,0.6124973055515317
29,-8,0,0.6014771763482372
30,-10,0,0.5906553227072292
31,-2,0,0.5800281772294446
32,-7,0,0.5695922367009157
33,-6,0,0.5593440609379459
34,-6,0,0.5492802716530589
35,7,1,0.5393975513413559
36,-5,0,0.5296926421869069
37,-9,0,0.520162344988819
38,-6,0,0.5108035181066276
39,2,1,0.501613076424662
40,-5,0,0.4925879903350437
41,-10,0,0.48372528473898346
42,-12,0,0.47502203806604676
43,-1,0,0.466475381311065
44,-9,0,0.45808249708837434
45,31,6,0.449840618703071
46,24,4,0.4417470292389771
47,-2,0,0.433799060663015
48,23,3,0.42599409294569657
49,-6,0,0.4183295531974366
50,-5,0,0.4108029148204056
51,3,1,0.4034116966756427
52,18,2,0.39615346226515386
53,-1,0,0.38902581892872584
54,-5,0,0.3820264170551917
55,21,3,0.37515294930788634
56,44,5,0.3684031498640387
57,62,7,0.3617747936678483
58,44,5,0.35526569569700106
59,57,6,0.3488737102423811
60,8,1,0.34259673020074355
61,-3,0,0.336432686380112
62,-8,0,0.3303795468176745
63,18,2,0.3244353161099521
64,59,7,0.31859803475501786
65,40,5,0.31286577850655245
66,48,5,0.30723665773952
67,59,7,0.30170881682725814
68,8,1,0.2962804335297748
69,81,9,0.2909497183930507
70,-1,0,0.2857149141591506
71,9,1,0.28057429518694665
72,8,1,0.2755261668832649
73,9,2,0.27056886514426715
74,61,7,0.2657007558068821
75,27,3,0.26092023411010784
76,6,1,0.25622572416600603
77,64,7,0.2516156784402138
78,35,5,0.24708857724180294
79,42,5,0.24264292822231712
80,-4,0,0.23827726588382261
81,28,3,0.23399015109581062
82,60,7,0.22978017062079073
83,27,3,0.22564593664842078
84,-2,0,0.22158608633801843
85,42,5,0.21759928136930348
86,75,8,0.21368420750122424
87,126,13,0.20983957413872048
88,88,9,0.20606411390728202
89,7,1,0.20235658223516173
90,9,1,0.1987157569431051
91,27,3,0.19514043784146168
92,59,6,0.19162944633454568
93,49,5,0.18818162503211416
94,17,2,0.18479583736783625
95,9,1,0.18147096722462674
96,105,11,0.1782059185667205
97,130,14,0.17499961507836692
98,52,6,0.17185099980902488
99,35,4,0.16875903482494142
100,29,3,0.16572270086699936
101,75,8,0.16274099701472075
102,66,7,0.1598129403563159
103,-1,0,0.15693756566466868
104,9,1,0.15411392507915156
105,47,5,0.1513410877931658
106,50,5,0.14861813974730292
107,69,7,0.14594418332802725
108,61,7,0.14331833707177977
109,58,6,0.14073973537440554
110,19,2,0.13820752820580934
111,98,10,0.13572088082974534
112,125,13,0.13327897352864798
113,94,10,0.13088100133341424
114,151,16,0.12852617375804715
115,28,3,0.12621371453907418
116,66,7,0.12394286137965348
117,68,7,0.1217128656982849
118,59,6,0.11952299238204143
119,49,5,0.11737251954424106
120,78,8,0.11526073828647859
121,101,11,0.11318695246493878
122,85,9,0.11115047846091418
123,19,2,0.10915064495545197
124,39,4,0.10718679270805494
125,17,2,0.10525827433936454
126,102,11,0.10336445411775375
127,65,7,0.10150470774975957
128,49,5,0.09967842217428631
129,48,5,0.09788499536051112
130,112,12,0.09612383610942614
131,38,4,0.09439436385895097
132,114,12,0.09269600849255183
133,106,11,0.09102821015130401
134,9,1,0.08939041904933547
135,43,5,0.0877820952925913
136,23,3,0.08620270870085898
137,98,10,0.08465173863299552
138,9,1,0.08312867381529954
139,70,7,0.08163301217297081
140,86,9,0.08016426066460265
141,57,6,0.07872193511965186
142,96,10,0.0773055600788331
143,46,5,0.07591466863738475
144,8,1,0.07454880229115494
145,79,8,0.07320751078545662
146,38,4,0.07189035196664215
147,8,1,0.0705968916363484
148,38,4,0.06932670340836426
149,29,3,0.06807936856807349
150,48,5,0.06685447593442621
151,27,3,0.0656516217243942
152,185,19,0.0644704094198647
153,40,4,0.06331044963692908
154,182,19,0.062171359997523414
155,69,7,0.06105276500337841
156,108,11,0.05995429591223724
157,108,11,0.05887559061630053
158,126,13,0.05781629352285835
159,138,14,0.05677605543706989
160,54,6,0.05575453344685229
161,88,9,0.05475139080984028
162,59,6,0.05376629684237997
163,17,2,0.0527989268105197
164,48,5,0.05184896182296225
165,109,11,0.05091608872594313
166,116,12,0.05000000000000001
167,106,11,0.04910039365859976
168,15,2,0.04821697314858926
169,78,8,0.04734944725243731
170,120,12,0.046497529992235526
171,115,12,0.045660940535426256
172,119,12,0.04483940310222687
173,64,7,0.04403264687471957
174,88,9,0.04324040590757686
175,96,10,0.0424624190403933
176,119,12,0.04169842981159465
177,184,19,0.04094818637389577
178,77,8,0.04021144141127986
179,138,14,0.039487952057471215
180,88,9,0.038777479815874996
181,47,5,0.038079790480957366
182,87,9,0.03739465406104013
183,109,11,0.036721844702484525
184,9,1,0.036061140615239115
185,40,4,0.03541232399972721
186,78,8,0.0347751809750497
187,17,2,0.03414950150847978
188,119,12,0.033535079346226064
189,76,8,0.032931711945441554
190,97,10,0.032339200407455845
191,65,7,0.03175734941220861
192,99,10,0.031185967153862886
193,88,9,0.030624865277576588
194,-5,0,0.030073858817411862
195,117,12,0.029532766135361474
196,38,4,0.029001408861472226
197,70,7,0.02847961183504579
198,108,11,0.027967203046897295
199,95,10,0.027464013582652953
200,90,9,0.026969877567067806
