Episodes,Episodic Return,Epsilon
1,-100,1.0
2,-5,0.9925
3,-39,0.9850000000000001
4,-112,0.9775000000000001
5,-5,0.9700000000000002
6,2,0.9625000000000002
7,-24,0.9550000000000003
8,-58,0.9475000000000003
9,-111,0.9400000000000004
10,-23,0.9325000000000004
11,-43,0.9250000000000005
12,-62,0.9175000000000005
13,-88,0.9100000000000006
14,-75,0.9025000000000006
15,-100,0.8950000000000007
16,-91,0.8875000000000007
17,-98,0.8800000000000008
18,-6,0.8725000000000008
19,-82,0.8650000000000009
20,-45,0.8575000000000009
21,-10,0.850000000000001
22,-10,0.842500000000001
23,-8,0.8350000000000011
24,-23,0.8275000000000011
25,-62,0.8200000000000012
26,-52,0.8125000000000012
27,-38,0.8050000000000013
28,-26,0.7975000000000013
29,-16,0.7900000000000014
30,-23,0.7825000000000014
31,6,0.7750000000000015
32,-10,0.7675000000000015
33,-49,0.7600000000000016
34,-21,0.7525000000000016
35,-44,0.7450000000000017
36,-4,0.7375000000000017
37,-14,0.7300000000000018
38,-33,0.7225000000000018
39,16,0.7150000000000019
40,-7,0.7075000000000019
41,-60,0.700000000000002
42,5,0.692500000000002
43,-18,0.685000000000002
44,13,0.6775000000000021
45,11,0.6700000000000021
46,-23,0.6625000000000022
47,-6,0.6550000000000022
48,-23,0.6475000000000023
49,-23,0.6400000000000023
50,20,0.6325000000000024
51,6,0.6250000000000024
52,14,0.6175000000000025
53,-15,0.6100000000000025
54,30,0.6025000000000026
55,7,0.5950000000000026
56,-10,0.5875000000000027
57,24,0.5800000000000027
58,22,0.5725000000000028
59,14,0.5650000000000028
60,43,0.5575000000000029
61,2,0.5500000000000029
62,17,0.542500000000003
63,-1,0.535000000000003
64,18,0.5275000000000031
65,9,0.5200000000000031
66,30,0.5125000000000032
67,14,0.5050000000000032
68,15,0.4975000000000032
69,41,0.4900000000000032
70,23,0.4825000000000032
71,41,0.4750000000000032
72,55,0.4675000000000032
73,22,0.4600000000000032
74,34,0.4525000000000032
75,21,0.44500000000000317
76,38,0.43750000000000316
77,25,0.43000000000000316
78,25,0.42250000000000315
79,49,0.41500000000000314
80,44,0.40750000000000314
81,29,0.40000000000000313
82,100,0.3925000000000031
83,31,0.3850000000000031
84,33,0.3775000000000031
85,29,0.3700000000000031
86,15,0.3625000000000031
87,32,0.3550000000000031
88,37,0.3475000000000031
89,44,0.3400000000000031
90,54,0.33250000000000307
91,59,0.32500000000000306
92,40,0.31750000000000306
93,31,0.31000000000000305
94,37,0.30250000000000304
95,39,0.29500000000000304
96,60,0.28750000000000303
97,35,0.280000000000003
98,61,0.272500000000003
99,30,0.265000000000003
100,35,0.257500000000003
101,41,0.250000000000003
102,130,0.242500000000003
103,67,0.23500000000000298
104,69,0.22750000000000298
105,52,0.22000000000000297
106,37,0.21250000000000296
107,54,0.20500000000000296
108,42,0.19750000000000295
109,47,0.19000000000000294
110,34,0.18250000000000294
111,40,0.17500000000000293
112,63,0.16750000000000292
113,100,0.16000000000000292
114,73,0.1525000000000029
115,114,0.1450000000000029
116,56,0.1375000000000029
117,33,0.1300000000000029
118,40,0.12250000000000288
119,38,0.11500000000000288
120,47,0.10750000000000287
121,38,0.10000000000000286
122,87,0.09250000000000286
123,97,0.08500000000000285
124,83,0.07750000000000284
125,98,0.07000000000000284
126,144,0.06250000000000283
127,49,0.05500000000000283
128,73,0.04750000000000283
129,99,0.04000000000000283
130,82,0.03250000000000283
131,98,0.025000000000002832
132,131,0.017500000000002833
133,77,0.010000000000002833
134,49,0.0025000000000028333
135,39,0.01
136,63,0.01
137,63,0.01
138,60,0.01
139,138,0.01
140,49,0.01
141,98,0.01
142,88,0.01
143,69,0.01
144,57,0.01
145,57,0.01
146,66,0.01
147,154,0.01
148,98,0.01
149,87,0.01
150,85,0.01
151,99,0.01
152,45,0.01
153,46,0.01
154,49,0.01
155,115,0.01
156,117,0.01
157,59,0.01
158,144,0.01
159,40,0.01
160,69,0.01
161,87,0.01
162,39,0.01
163,101,0.01
164,49,0.01
165,101,0.01
166,125,0.01
167,89,0.01
168,108,0.01
169,95,0.01
170,79,0.01
171,98,0.01
172,78,0.01
173,116,0.01
174,157,0.01
175,85,0.01
176,37,0.01
177,105,0.01
178,89,0.01
179,148,0.01
180,156,0.01
181,146,0.01
182,127,0.01
183,68,0.01
184,89,0.01
185,90,0.01
186,138,0.01
187,59,0.01
188,57,0.01
189,49,0.01
190,59,0.01
191,159,0.01
192,128,0.01
193,49,0.01
194,60,0.01
195,168,0.01
196,99,0.01
197,98,0.01
198,36,0.01
199,40,0.01
200,50,0.01
