Episodes,Episodic Return,Scores,Epsilon
1,-11,4,1.0
2,57,0,1.0
3,41,1,0.9908319448927676
4,-62,4,0.9817479430199844
5,55,0,0.9727472237769651
6,47,0,0.9638290236239705
7,54,0,0.954992586021436
8,47,0,0.9462371613657931
9,53,0,0.9375620069258802
10,21,1,0.9289663867799364
11,-28,4,0.9204495717531713
12,-40,4,0.9120108393559098
13,26,1,0.9036494737223014
14,40,2,0.8953647655495939
15,40,1,0.8871560120379609
16,49,2,0.8790225168308844
17,-4,2,0.8709635899560807
18,53,3,0.8629785477669704
19,45,0,0.8550667128846833
20,-49,4,0.8472274141405964
21,52,0,0.8394599865193975
22,32,2,0.831763771102671
23,82,3,0.8241381150130023
24,60,0,0.8165823713585925
25,62,1,0.8090958991783823
26,46,0,0.8016780633876791
27,12,5,0.7943282347242815
28,-42,4,0.7870457896950986
29,57,0,0.7798301105232588
30,52,1,0.7726805850957024
31,55,0,0.7655966069112563
32,57,1,0.7585775750291838
33,-95,4,0.7516228940182055
34,46,1,0.7447319739059891
35,-20,5,0.737904230129101
36,18,5,0.7311390834834175
37,-43,4,0.7244359600749901
38,2,4,0.7177942912713617
39,40,2,0.7112135136533291
40,47,0,0.7046930689671469
41,-11,4,0.6982324040771715
42,-42,4,0.6918309709189365
43,35,3,0.6854882264526616
44,14,4,0.6792036326171845
45,-44,4,0.6729766562843178
46,47,0,0.6668067692136221
47,68,3,0.660693448007596
48,-42,5,0.654636174067275
49,-50,4,0.6486344335482385
50,-29,4,0.6426877173170197
51,59,2,0.6367955209079158
52,1,4,0.6309573444801932
53,-24,4,0.6251726927756859
54,12,4,0.6194410750767815
55,-5,4,0.6137620051647942
56,13,4,0.6081350012787179
57,-17,4,0.6025595860743578
58,17,4,0.5970352865838369
59,12,8,0.591561634175474
60,24,4,0.5861381645140288
61,-4,4,0.5807644175213121
62,14,7,0.5754399373371569
63,34,8,0.5701642722807475
64,81,2,0.5649369748123025
65,35,7,0.5597576014951102
66,23,6,0.5546257129579107
67,20,7,0.5495408738576246
68,30,5,0.5445026528424213
69,29,4,0.5395106225151277
70,26,6,0.5345643593969717
71,23,8,0.5296634438916579
72,20,4,0.5248074602497727
73,9,4,0.519995996533516
74,23,5,0.5152286445817565
75,35,6,0.5105049999754063
76,13,4,0.5058246620031142
77,-6,4,0.5011872336272724
78,35,7,0.4965923214503361
79,46,6,0.4920395356814509
80,34,5,0.4875284901033864
81,25,6,0.4830588020397727
82,16,6,0.47863009232263837
83,-3,4,0.4742419852602447
84,17,4,0.46989410860521547
85,33,5,0.465586093522959
86,7,4,0.4613175745603794
87,21,7,0.4570881896148751
88,33,6,0.4528975799036208
89,8,5,0.4487453899331322
90,49,9,0.4446312674691087
91,25,6,0.4405548635065534
92,24,5,0.436515832240166
93,33,4,0.43251383103500873
94,33,5,0.42854852039743957
95,72,11,0.42461956394631295
96,39,5,0.42072662838444413
97,26,5,0.4168693834703354
98,70,9,0.41304750199016144
99,32,6,0.4092606597300109
100,55,10,0.4055085354483839
101,27,4,0.40179081084893997
102,50,7,0.3981071705534973
103,31,4,0.39445730207527846
104,21,4,0.39084089579240205
105,27,5,0.38725764492161724
106,24,6,0.3837072454922788
107,24,4,0.38018939632056126
108,46,7,0.3767037989839089
109,50,7,0.3732501577957206
110,40,5,0.3698281797802663
111,19,5,0.36643757464783333
112,30,7,0.3630780547701014
113,48,7,0.3597493351557423
114,55,6,0.3564511334262443
115,38,5,0.353183169791957
116,29,5,0.3499451670283573
117,77,9,0.3467368504525317
118,25,4,0.34355794789987465
119,59,7,0.34040818970100095
120,53,8,0.33728730865886897
121,33,5,0.3341950400261143
122,65,8,0.33113112148259116
123,62,8,0.3280952931131191
124,65,8,0.3250872973854344
125,86,10,0.3221068791283435
126,122,15,0.31915378551007617
127,44,5,0.316227766016838
128,67,9,0.31332857243155865
129,34,4,0.3104559588128356
130,44,7,0.30760968147407086
131,19,4,0.3047894989627984
132,63,7,0.30199517204020165
133,35,4,0.29922646366081895
134,59,7,0.29648313895243433
135,51,7,0.29376496519615314
136,39,6,0.2910717118066606
137,36,4,0.2884031503126606
138,24,5,0.2857590543374947
139,37,6,0.283139199579938
140,71,9,0.28054336379517136
141,27,4,0.2779713267759289
142,50,6,0.27542287033381674
143,39,5,0.27289777828080414
144,54,6,0.27039583641088444
145,28,5,0.2679168324819032
146,52,6,0.265460556197554
147,38,4,0.26302679918953825
148,57,7,0.2606153549998896
149,72,9,0.25822601906345966
150,30,4,0.25585858869056466
