Episodes,Episodic Return,Epsilon
1,-91,1.0
2,-66,0.9925
3,-198,0.9850000000000001
4,-15,0.9775000000000001
5,-7,0.9700000000000002
6,-6,0.9625000000000002
7,-90,0.9550000000000003
8,-66,0.9475000000000003
9,-103,0.9400000000000004
10,-11,0.9325000000000004
11,1,0.9250000000000005
12,3,0.9175000000000005
13,-11,0.9100000000000006
14,2,0.9025000000000006
15,-58,0.8950000000000007
16,-158,0.8875000000000007
17,-3,0.8800000000000008
18,-124,0.8725000000000008
19,-93,0.8650000000000009
20,-58,0.8575000000000009
21,-61,0.850000000000001
22,22,0.842500000000001
23,-60,0.8350000000000011
24,-22,0.8275000000000011
25,-12,0.8200000000000012
26,-12,0.8125000000000012
27,-90,0.8050000000000013
28,-34,0.7975000000000013
29,14,0.7900000000000014
30,-91,0.7825000000000014
31,-19,0.7750000000000015
32,-9,0.7675000000000015
33,-17,0.7600000000000016
34,-49,0.7525000000000016
35,-53,0.7450000000000017
36,16,0.7375000000000017
37,-55,0.7300000000000018
38,6,0.7225000000000018
39,-26,0.7150000000000019
40,-29,0.7075000000000019
41,-71,0.700000000000002
42,-16,0.692500000000002
43,2,0.685000000000002
44,-34,0.6775000000000021
45,-52,0.6700000000000021
46,-15,0.6625000000000022
47,16,0.6550000000000022
48,0,0.6475000000000023
49,-12,0.6400000000000023
50,-8,0.6325000000000024
51,24,0.6250000000000024
52,-14,0.6175000000000025
53,29,0.6100000000000025
54,31,0.6025000000000026
55,-4,0.5950000000000026
56,1,0.5875000000000027
57,-1,0.5800000000000027
58,29,0.5725000000000028
59,13,0.5650000000000028
60,-14,0.5575000000000029
61,28,0.5500000000000029
62,-2,0.542500000000003
63,22,0.535000000000003
64,-31,0.5275000000000031
65,25,0.5200000000000031
66,19,0.5125000000000032
67,16,0.5050000000000032
68,38,0.4975000000000032
69,18,0.4900000000000032
70,15,0.4825000000000032
71,30,0.4750000000000032
72,2,0.4675000000000032
73,31,0.4600000000000032
74,28,0.4525000000000032
75,51,0.44500000000000317
76,22,0.43750000000000316
77,42,0.43000000000000316
78,22,0.42250000000000315
79,22,0.41500000000000314
80,23,0.40750000000000314
81,27,0.40000000000000313
82,45,0.3925000000000031
83,42,0.3850000000000031
84,48,0.3775000000000031
85,51,0.3700000000000031
86,28,0.3625000000000031
87,41,0.3550000000000031
88,36,0.3475000000000031
89,47,0.3400000000000031
90,70,0.33250000000000307
91,61,0.32500000000000306
92,26,0.31750000000000306
93,61,0.31000000000000305
94,27,0.30250000000000304
95,73,0.29500000000000304
96,31,0.28750000000000303
97,49,0.280000000000003
98,78,0.272500000000003
99,33,0.265000000000003
100,54,0.257500000000003
101,73,0.250000000000003
102,81,0.242500000000003
103,48,0.23500000000000298
104,58,0.22750000000000298
105,49,0.22000000000000297
106,48,0.21250000000000296
107,35,0.20500000000000296
108,88,0.19750000000000295
109,38,0.19000000000000294
110,49,0.18250000000000294
111,114,0.17500000000000293
112,33,0.16750000000000292
113,36,0.16000000000000292
114,68,0.1525000000000029
115,63,0.1450000000000029
116,87,0.1375000000000029
117,33,0.1300000000000029
118,64,0.12250000000000288
119,114,0.11500000000000288
120,75,0.10750000000000287
121,63,0.10000000000000286
122,57,0.09250000000000286
123,67,0.08500000000000285
124,116,0.07750000000000284
125,67,0.07000000000000284
126,59,0.06250000000000283
127,69,0.05500000000000283
128,79,0.04750000000000283
129,75,0.04000000000000283
130,69,0.03250000000000283
131,40,0.025000000000002832
132,80,0.017500000000002833
133,75,0.010000000000002833
134,135,0.0025000000000028333
135,110,0.01
136,69,0.01
137,49,0.01
138,147,0.01
139,137,0.01
140,87,0.01
141,40,0.01
142,103,0.01
143,118,0.01
144,98,0.01
145,68,0.01
146,108,0.01
147,136,0.01
148,107,0.01
149,204,0.01
150,59,0.01
151,48,0.01
152,98,0.01
153,46,0.01
154,68,0.01
155,97,0.01
156,103,0.01
157,38,0.01
158,39,0.01
159,39,0.01
160,89,0.01
161,57,0.01
162,112,0.01
163,113,0.01
164,69,0.01
165,60,0.01
166,154,0.01
167,90,0.01
168,109,0.01
169,120,0.01
170,40,0.01
171,140,0.01
172,146,0.01
173,145,0.01
174,107,0.01
175,38,0.01
176,70,0.01
177,162,0.01
178,149,0.01
179,139,0.01
180,128,0.01
181,77,0.01
182,48,0.01
183,70,0.01
184,94,0.01
185,99,0.01
186,198,0.01
187,60,0.01
188,49,0.01
189,128,0.01
190,77,0.01
191,162,0.01
192,109,0.01
193,99,0.01
194,79,0.01
195,186,0.01
196,119,0.01
197,89,0.01
198,89,0.01
199,100,0.01
200,154,0.01
