Episodes,Episodic Return,Scores,Epsilon
1,-53,4,1.0
2,-59,4,1.0
3,-15,2,0.9944669661165099
4,-163,4,0.9889645466969756
5,0,5,0.9834925723505308
6,-40,4,0.9780508746235544
7,0,0,0.9726392859944852
8,-233,5,0.9672576398686641
9,31,4,0.9619057705732061
10,-57,3,0.9565835133519
11,-135,3,0.9512907043601359
12,-213,4,0.946027180659862
13,-47,4,0.9407927802145684
14,-45,2,0.9355873418842983
15,-22,3,0.930410705420688
16,1,0,0.9252627114620334
17,-3,4,0.9201432015283841
18,-66,2,0.9150520180166645
19,-49,4,0.9099890041958223
20,-36,3,0.9049540042020033
21,-85,4,0.8999468630337536
22,-145,4,0.8949674265472473
23,-141,4,0.8900155414515414
24,-44,6,0.8850910553038572
25,-12,4,0.8801938165048869
26,-41,4,0.8753236742941269
27,10,0,0.8704804787452365
28,-96,4,0.8656640807614223
29,-57,3,0.8608743320708491
30,15,0,0.8561110852220741
31,-36,3,0.8513741935795089
32,-78,4,0.8466635113189045
33,-67,4,0.8419788934228623
34,4,0,0.8373201956763701
35,-64,4,0.8326872746623621
36,0,4,0.8280799877573042
37,-51,4,0.823498193126803
38,-71,4,0.8189417497212396
39,-95,4,0.8144105172714272
40,-126,5,0.8099043562842937
41,3,4,0.8054231280385865
42,-45,6,0.8009666945806023
43,-60,4,0.7965349187199409
44,-2,5,0.7921276640252803
45,3,6,0.7877447948201786
46,-46,4,0.7833861761788956
47,-11,4,0.7790516739222401
48,-55,4,0.7747411546134385
49,1,4,0.7704544855540282
50,-48,5,0.7661915347797708
51,-29,4,0.7619521710565911
52,10,6,0.757736263876536
53,6,5,0.753543683453758
54,28,5,0.7493743007205184
55,5,4,0.745227987323215
56,-52,5,0.7411046156184306
57,-4,4,0.7370040586690029
58,-2,5,0.7329261902401175
59,-50,4,0.7288708847954216
60,5,4,0.7248380174931592
61,-60,4,0.7208274641823277
62,24,5,0.7168391013988566
63,-28,5,0.7128728063618062
64,24,4,0.7089284569695876
65,-53,4,0.7050059317962045
66,-20,4,0.7011051100875146
67,-67,4,0.6972258717575123
68,21,5,0.6933680973846321
69,-15,4,0.6895316682080719
70,-38,4,0.6857164661241372
71,16,5,0.6819223736826052
72,-53,5,0.6781492740831093
73,-2,4,0.6743970511715432
74,14,4,0.6706655894364854
75,-31,6,0.6669547740056424
76,-26,4,0.6632644906423136
77,10,4,0.6595946257418739
78,21,4,0.6559450663282762
79,-15,4,0.6523157000505736
80,-11,4,0.6487064151794613
81,2,4,0.6451171006038359
82,12,4,0.641547645827376
83,-13,6,0.6379979409651397
84,12,5,0.6344678767401827
85,5,4,0.6309573444801932
86,-1,4,0.6274662361141474
87,54,6,0.6239944441689819
88,22,6,0.6205418617662853
89,21,4,0.6171083826190084
90,-8,4,0.6136939010281917
91,15,4,0.6102983118797114
92,11,6,0.6069215106410442
93,-1,5,0.6035633933580483
94,-52,4,0.6002238566517639
95,27,4,0.5969027977152306
96,0,5,0.5936001143103221
97,-16,4,0.5903157047645995
98,-7,4,0.5870494679681807
99,4,5,0.583801303370628
100,-6,4,0.5805711109778525
101,21,5,0.5773587913490366
102,55,7,0.5741642455935715
103,16,4,0.5709873753680137
104,25,6,0.5678280828730574
105,24,4,0.5646862708505235
106,14,6,0.5615618425803659
107,6,4,0.5584547018776936
108,39,6,0.55536475308981
109,-14,5,0.552291901093268
110,14,4,0.5492360512909418
111,21,5,0.5461971096091146
112,29,4,0.5431749824945831
113,-12,4,0.5401695769117764
114,20,5,0.5371808003398929
115,57,9,0.534208560770052
116,25,5,0.5312527667024608
117,30,4,0.5283133271435982
118,27,4,0.5253901516034133
119,18,5,0.5224831500925396
120,-1,4,0.519592233119525
121,18,4,0.5167173116880763
122,17,4,0.5138582972943203
123,14,6,0.5110151019240783
124,29,4,0.5081876380501572
125,37,6,0.5053758186296549
126,34,6,0.5025795571012804
127,33,5,0.49979876738268963
128,16,4,0.4970333638678346
129,4,4,0.4942832614243288
130,39,7,0.49154837539082596
131,21,4,0.48882862157441404
132,14,4,0.48612391624802304
133,26,5,0.4834341761478478
134,7,4,0.4807593184707846
135,9,5,0.4780992608718822
136,-1,5,0.4754539214618065
137,17,4,0.4728232188043201
138,24,5,0.4702070719137749
139,13,4,0.4676054002526193
140,23,4,0.4650181237289186
141,63,8,0.4624451626938895
142,13,4,0.4598864379394481
143,15,4,0.4573418706957716
144,37,5,0.45481138262887316
145,19,4,0.4522948958381906
146,29,4,0.4497923328541883
147,54,7,0.44730361663597196
148,7,4,0.44482867056891745
149,6,5,0.44236741846231176
150,50,6,0.43991978454700775
151,45,6,0.43748569347309146
152,32,4,0.4350650703075627
153,37,4,0.432657840532028
154,28,5,0.43026393004040664
155,25,4,0.4278832651366494
156,29,4,0.42551577253246997
157,-6,4,0.4231613793450883
158,36,4,0.4208200130949875
159,75,9,0.4184916017036822
160,4,4,0.4161760734914997
161,31,5,0.4138733571753733
162,13,5,0.4115833818666482
163,34,5,0.4093060770688986
164,26,4,0.40704137267575796
165,30,4,0.4047891989687607
166,32,5,0.4025494866151957
167,66,8,0.40032216666597226
168,41,5,0.39810717055349726
169,32,7,0.3959044300895644
170,48,7,0.393713877463255
171,41,6,0.39153544523885053
172,22,4,0.3893690663537566
173,45,6,0.38721467411643834
174,39,5,0.3850722022043675
175,57,8,0.3829415846619806
176,50,6,0.38082275589864845
177,64,7,0.37871565068665713
178,40,5,0.3766202041591999
179,18,4,0.37453635180838
180,34,4,0.3724640294832255
181,44,5,0.3704031733877136
182,47,7,0.3683537200788071
183,24,4,0.36631560646450145
184,23,4,0.36428876980188213
185,40,5,0.36227314769519336
186,32,5,0.3602686780939172
187,30,4,0.3582752992908634
188,38,6,0.3562929499202695
189,30,4,0.354321568955912
190,31,5,0.3523610957092275
191,31,5,0.3504114698274447
192,55,6,0.34847263129172584
193,40,5,0.3465445204153198
194,47,6,0.34462707784172397
195,22,5,0.3427202445428576
196,25,4,0.34082396181724395
197,60,7,0.3389381712882038
198,52,6,0.33706281490205797
199,28,4,0.33519783492634037
200,33,5,0.3333431739480204
201,55,7,0.33149877487173585
202,64,8,0.3296645809180351
203,34,4,0.327840535621629
204,35,4,0.32602658282965297
205,76,10,0.324222666699938
206,46,6,0.3224287316992917
207,31,4,0.3206447226017888
208,78,9,0.3188705844870708
209,47,6,0.31710626273865555
210,42,5,0.3153517030422556
211,34,4,0.31360685138410654
212,16,7,0.3118716540493036
213,21,4,0.3101460576201488
214,30,4,0.3084300089745056
215,78,10,0.3067234552841645
216,67,8,0.30502634401321604
217,42,6,0.3033386229164338
218,22,4,0.30166024003766595
219,81,9,0.2999911437082358
220,59,7,0.2983312825453512
221,32,4,0.29668060545052266
222,35,5,0.2950390616079906
223,33,5,0.2934066004831604
224,61,9,0.29178317182104746
225,45,5,0.2901687256447294
226,35,4,0.28856321225380793
227,76,9,0.28696658222287885
228,49,6,0.28537878640001035
229,29,4,0.28379977590522976
230,38,4,0.28222950212901926
231,57,8,0.2806679167308189
232,63,7,0.2791149716375387
233,62,8,0.2775706190420788
234,68,9,0.27603481140185765
235,50,6,0.27450750143734837
236,36,4,0.2729886421306233
237,30,4,0.2714781867239066
238,54,6,0.2699760887181348
239,65,7,0.2684823018715252
240,34,5,0.26699678019815265
241,56,7,0.26551947796653347
242,63,7,0.26405034969821806
243,78,10,0.2625893501663904
244,68,7,0.2611364343944761
245,38,5,0.25969155765475765
246,38,4,0.25825467546699754
247,65,7,0.25682574359706895
248,52,6,0.2554047180555938
249,73,8,0.253991555096589
250,76,8,0.25258621121611924
251,42,5,0.25118864315095807
252,31,4,0.2497988078772559
253,54,6,0.2484166626092156
254,34,4,0.24704216479777527
255,48,7,0.24567527212929843
256,67,8,0.24431594252427138
257,35,4,0.24296413413600776
258,33,4,0.2416198053493604
259,40,5,0.24028291477944008
260,23,4,0.23895342127034166
261,31,4,0.23763128389387697
262,53,6,0.2363164619483149
263,55,6,0.23500891495712836
264,42,6,0.23370860266774834
265,26,4,0.23241548505032456
266,36,4,0.2311295222964933
267,42,5,0.22985067481815194
268,35,4,0.22857890324624008
269,38,4,0.22731416842952762
270,37,4,0.22605643143340967
271,43,5,0.22480565353870774
272,32,4,0.22356179624047792
273,38,4,0.22232482124682545
274,83,9,0.2210946904777259
275,43,5,0.21987136606385288
276,40,5,0.21865481034541231
277,65,8,0.21744498587098304
278,31,4,0.21624185539636387
279,67,8,0.215045381883427
280,63,7,0.21385552849897793
281,44,5,0.2126722586136214
282,63,7,0.21149553580063385
283,47,5,0.21032532383484207
284,35,4,0.20916158669150783
285,35,5,0.20800428854521916
286,42,5,0.20685339376878725
287,35,4,0.20570886693214963
288,35,4,0.2045706728012797
289,44,6,0.20343877633710183
290,30,4,0.2023131426944129
291,34,4,0.20119373722080933
292,39,5,0.20008052545562058
293,33,4,0.19897347312884814
294,110,13,0.1978725461601105
295,79,9,0.19677771065759414
296,51,6,0.19568893291701006
297,39,5,0.19460617942055622
298,56,7,0.19352941683588573
299,45,5,0.1924586120150807
300,89,9,0.19139373199363177
301,56,6,0.19033474398942338
302,37,4,0.18928161540172447
303,73,8,0.188234313810185
304,26,4,0.18719280697383775
305,98,11,0.18615706283010588
306,65,7,0.18512704949381592
307,46,5,0.1841027352562161
308,53,6,0.18308408858400022
309,38,4,0.18207107811833703
310,38,4,0.18106367267390472
311,55,6,0.18006184123793084
312,37,4,0.17906555296923773
313,70,8,0.17807477719729306
314,39,4,0.1770894834212655
315,49,5,0.17610964130908585
316,28,4,0.17513522069651338
317,37,4,0.17416619158620705
318,40,4,0.17320252414680215
319,95,10,0.17224418871199187
320,100,11,0.17129115577961415
321,35,4,0.17034339601074336
322,44,5,0.1694008802287872
323,146,16,0.16846357941858825
324,92,10,0.16753146472553118
325,83,9,0.16660450745465408
326,38,4,0.1656826790697653
327,146,16,0.16476595119256487
328,25,4,0.16385429560177092
329,53,6,0.16294768423225092
330,51,6,0.16204608917415764
331,36,4,0.16114948267206994
332,37,4,0.1602578371241385
333,58,6,0.15937112508123577
334,32,4,0.15848931924611137
335,100,11,0.15761239247255135
336,46,5,0.15674031776454278
337,67,7,0.15587306827544256
338,43,5,0.15501061730715096
339,104,11,0.15415293830928978
340,37,4,0.1533000048783849
341,49,5,0.15245179075705365
342,65,7,0.1516082698331961
343,44,5,0.15076941613919173
344,67,7,0.14993520385109957
345,37,4,0.14910560728786343
346,38,4,0.1482806009105213
347,83,9,0.14746015932141912
348,68,7,0.14664425726342886
349,111,12,0.14583286961917105
350,66,7,0.1450259714102416
351,62,7,0.14422353779644265
352,55,6,0.14342554407501812
353,55,6,0.14263196567989303
354,37,4,0.1418427781809174
355,30,4,0.141057957283114
356,37,4,0.1402774788259306
357,55,6,0.1395013187824962
358,58,6,0.13872945325888109
359,64,7,0.13796185849336165
360,41,5,0.13719851085568863
361,67,7,0.1364393868463597
362,95,10,0.13568446309589619
363,114,12,0.13493371636412338
364,66,7,0.13418712353945547
365,56,6,0.13344466163818358
366,58,6,0.13270630780376866
367,64,7,0.13197203930613752
368,56,6,0.13124183354098337
369,71,8,0.13051566802906978
370,56,6,0.12979352041553857
371,35,4,0.12907536846922193
372,67,7,0.12836119008195773
373,84,9,0.12765096326790917
374,56,6,0.12694466616288766
375,57,6,0.1262422770236801
376,63,7,0.12554377422737908
377,37,4,0.1248491362707178
378,42,5,0.12415834176940742
379,70,7,0.12347136945747936
380,65,7,0.12278819818663017
381,119,13,0.12210880692557087
382,78,8,0.1214331747593791
383,39,4,0.12076128088885572
384,53,6,0.12009310462988398
385,57,6,0.11942862541279334
386,122,13,0.11876782278172568
387,74,8,0.11811067639400606
388,38,4,0.11745716601951611
389,48,5,0.11680727154007138
390,93,10,0.11616097294880216
391,36,4,0.11551825034953724
392,92,10,0.11487908395619179
393,87,9,0.11424345409215783
394,47,5,0.11361134118969901
395,35,4,0.11298272578934762
396,41,5,0.11235758853930611
397,60,6,0.11173591019485087
398,140,15,0.11111767161774017
399,45,5,0.11050285377562466
400,56,7,0.1098914377414618
401,69,7,0.10928340469293282
402,59,6,0.10867873591186368
403,85,10,0.10807741278364845
404,37,4,0.1074794167966766
405,59,6,0.10688472954176284
406,85,9,0.10629333271158058
407,79,9,0.10570520810009833
408,77,8,0.1051203376020191
409,52,6,0.10453870321222322
410,95,10,0.10396028702521384
411,48,5,0.103385071234566
412,57,6,0.10281303813237809
413,59,6,0.1022441701087271
414,67,7,0.10167844965112616
415,55,6,0.10111585934398576
416,94,10,0.10055638186807725
417,71,8,0.10000000000000002
418,77,8,0.099446696611651
419,54,6,0.09889645466969758
420,39,4,0.09834925723505308
421,74,8,0.09780508746235547
422,36,4,0.09726392859944852
423,32,4,0.09672576398686643
424,117,12,0.09619057705732065
425,55,6,0.09565835133519
426,78,8,0.09512907043601361
427,44,5,0.09460271806598622
428,34,4,0.09407927802145687
429,92,10,0.09355873418842985
430,99,10,0.09304107054206884
431,39,4,0.09252627114620335
432,39,4,0.09201432015283843
433,56,6,0.09150520180166645
434,40,4,0.09099890041958225
435,70,7,0.09049540042020034
436,46,5,0.08999468630337538
437,76,8,0.08949674265472472
438,69,7,0.08900155414515415
439,77,8,0.08850910553038571
440,113,12,0.08801938165048871
441,127,13,0.08753236742941273
442,80,9,0.08704804787452365
443,86,9,0.08656640807614227
444,144,15,0.08608743320708492
445,48,5,0.08561110852220745
446,34,4,0.0851374193579509
447,104,11,0.08466635113189047
448,53,6,0.08419788934228623
449,46,5,0.08373201956763703
450,57,6,0.08326872746623622
451,39,4,0.08280799877573045
452,50,5,0.0823498193126803
453,36,4,0.08189417497212396
454,48,5,0.08144105172714272
455,28,4,0.08099043562842939
456,47,5,0.08054231280385864
457,75,8,0.08009666945806025
458,65,7,0.07965349187199408
459,49,5,0.07921276640252804
460,38,4,0.07877447948201789
461,58,6,0.07833861761788957
462,34,4,0.07790516739222403
463,54,6,0.07747411546134386
464,57,6,0.07704544855540284
465,96,10,0.07661915347797708
466,37,4,0.07619521710565913
467,52,6,0.07577362638765361
468,37,4,0.07535436834537582
469,97,10,0.07493743007205184
470,49,5,0.07452279873232152
471,41,5,0.07411046156184306
472,33,4,0.0737004058669003
473,68,7,0.07329261902401175
474,46,5,0.07288708847954219
475,55,6,0.07248380174931592
476,39,4,0.07208274641823278
477,49,5,0.07168391013988566
478,52,6,0.07128728063618063
479,108,11,0.07089284569695879
480,90,10,0.07050059317962046
481,37,4,0.07011051100875149
482,83,9,0.06972258717575124
483,38,4,0.06933680973846323
484,68,7,0.0689531668208072
485,36,4,0.06857164661241373
486,96,11,0.06819223736826052
487,53,6,0.06781492740831095
488,39,4,0.06743970511715433
489,73,8,0.06706655894364855
490,71,8,0.06669547740056424
491,87,9,0.06632644906423138
492,49,5,0.06595946257418739
493,83,9,0.06559450663282763
494,69,7,0.06523157000505736
