Episodes,Episodic Return,Epsilon
1,-121,1.0
2,-71,0.9925
3,-41,0.9850000000000001
4,-34,0.9775000000000001
5,-85,0.9700000000000002
6,-62,0.9625000000000002
7,-129,0.9550000000000003
8,-1,0.9475000000000003
9,-75,0.9400000000000004
10,-85,0.9325000000000004
11,-122,0.9250000000000005
12,-78,0.9175000000000005
13,-25,0.9100000000000006
14,6,0.9025000000000006
15,-8,0.8950000000000007
16,11,0.8875000000000007
17,-142,0.8800000000000008
18,-142,0.8725000000000008
19,-9,0.8650000000000009
20,-19,0.8575000000000009
21,-62,0.850000000000001
22,-37,0.842500000000001
23,-75,0.8350000000000011
24,-104,0.8275000000000011
25,-10,0.8200000000000012
26,-37,0.8125000000000012
27,-36,0.8050000000000013
28,-49,0.7975000000000013
29,22,0.7900000000000014
30,9,0.7825000000000014
31,-31,0.7750000000000015
32,28,0.7675000000000015
33,-17,0.7600000000000016
34,-99,0.7525000000000016
35,-11,0.7450000000000017
36,-37,0.7375000000000017
37,-20,0.7300000000000018
38,-58,0.7225000000000018
39,-79,0.7150000000000019
40,-45,0.7075000000000019
41,-74,0.700000000000002
42,4,0.692500000000002
43,-2,0.685000000000002
44,-42,0.6775000000000021
45,23,0.6700000000000021
46,22,0.6625000000000022
47,9,0.6550000000000022
48,-21,0.6475000000000023
49,12,0.6400000000000023
50,31,0.6325000000000024
51,10,0.6250000000000024
52,7,0.6175000000000025
53,33,0.6100000000000025
54,13,0.6025000000000026
55,15,0.5950000000000026
56,-4,0.5875000000000027
57,12,0.5800000000000027
58,-3,0.5725000000000028
59,3,0.5650000000000028
60,22,0.5575000000000029
61,26,0.5500000000000029
62,31,0.542500000000003
63,4,0.535000000000003
64,-2,0.5275000000000031
65,28,0.5200000000000031
66,49,0.5125000000000032
67,36,0.5050000000000032
68,17,0.4975000000000032
69,45,0.4900000000000032
70,58,0.4825000000000032
71,-8,0.4750000000000032
72,27,0.4675000000000032
73,32,0.4600000000000032
74,21,0.4525000000000032
75,45,0.44500000000000317
76,29,0.43750000000000316
77,21,0.43000000000000316
78,13,0.42250000000000315
79,77,0.41500000000000314
80,11,0.40750000000000314
81,32,0.40000000000000313
82,31,0.3925000000000031
83,32,0.3850000000000031
84,26,0.3775000000000031
85,41,0.3700000000000031
86,53,0.3625000000000031
87,31,0.3550000000000031
88,33,0.3475000000000031
89,39,0.3400000000000031
90,59,0.33250000000000307
91,44,0.32500000000000306
92,82,0.31750000000000306
93,38,0.31000000000000305
94,60,0.30250000000000304
95,50,0.29500000000000304
96,89,0.28750000000000303
97,48,0.280000000000003
98,57,0.272500000000003
99,32,0.265000000000003
100,41,0.257500000000003
101,27,0.250000000000003
102,63,0.242500000000003
103,51,0.23500000000000298
104,34,0.22750000000000298
105,58,0.22000000000000297
106,43,0.21250000000000296
107,128,0.20500000000000296
108,104,0.19750000000000295
109,35,0.19000000000000294
110,34,0.18250000000000294
111,67,0.17500000000000293
112,85,0.16750000000000292
113,35,0.16000000000000292
114,56,0.1525000000000029
115,52,0.1450000000000029
116,49,0.1375000000000029
117,78,0.1300000000000029
118,77,0.12250000000000288
119,35,0.11500000000000288
120,77,0.10750000000000287
121,48,0.10000000000000286
122,59,0.09250000000000286
123,120,0.08500000000000285
124,68,0.07750000000000284
125,98,0.07000000000000284
126,104,0.06250000000000283
127,78,0.05500000000000283
128,38,0.04750000000000283
129,39,0.04000000000000283
130,167,0.03250000000000283
131,113,0.025000000000002832
132,119,0.017500000000002833
133,118,0.010000000000002833
134,155,0.0025000000000028333
135,139,0.01
136,147,0.01
137,99,0.01
138,110,0.01
139,119,0.01
140,100,0.01
141,159,0.01
142,97,0.01
143,47,0.01
144,109,0.01
145,95,0.01
146,69,0.01
147,79,0.01
148,38,0.01
149,116,0.01
150,107,0.01
151,117,0.01
152,185,0.01
153,59,0.01
154,90,0.01
155,90,0.01
156,32,0.01
157,70,0.01
158,69,0.01
159,89,0.01
160,79,0.01
161,98,0.01
162,86,0.01
163,79,0.01
164,74,0.01
165,48,0.01
166,35,0.01
167,70,0.01
168,70,0.01
169,69,0.01
170,100,0.01
171,160,0.01
172,40,0.01
173,60,0.01
174,87,0.01
175,65,0.01
176,45,0.01
177,168,0.01
178,149,0.01
179,39,0.01
180,136,0.01
181,129,0.01
182,48,0.01
183,147,0.01
184,40,0.01
185,159,0.01
186,125,0.01
187,118,0.01
188,85,0.01
189,119,0.01
190,78,0.01
191,59,0.01
192,139,0.01
193,49,0.01
194,133,0.01
195,140,0.01
196,39,0.01
197,140,0.01
198,126,0.01
199,149,0.01
200,126,0.01
