Episodes,Episodic Return,Epsilon
1,-13,1.0
2,-83,1.0
3,-160,0.9697653591082493
4,8,0.9404448517263517
5,-52,0.9120108393559098
6,-28,0.8844365191385997
7,-94,0.8576958985908941
8,-92,0.831763771102671
9,-46,0.8066156921766134
10,-47,0.7822279563860026
11,-54,0.7585775750291838
12,-18,0.7356422544596414
13,-36,0.7134003750712562
14,36,0.6918309709189365
15,30,0.6709137099554112
16,37,0.6506288748655572
17,-9,0.6309573444801932
18,39,0.611880575751822
19,-1,0.593380586275328
20,20,0.5754399373371569
21,36,0.5580417174769965
22,42,0.5411695265464637
23,23,0.5248074602497727
24,38,0.508940095151809
25,32,0.49355247413948067
26,30,0.47863009232263837
27,37,0.4641588833612779
28,15,0.4501252062061337
29,21,0.436515832240166
30,32,0.4233179328088209
31,32,0.41051906712730796
32,52,0.3981071705534973
33,22,0.38607054321538137
34,35,0.37439783898238116
35,21,0.3630780547701014
36,45,0.352100520168452
37,19,0.3414548873833602
38,47,0.33113112148259116
39,38,0.32111949093648234
40,45,0.31141055844467597
41,46,0.30199517204020165
42,59,0.2928644564625237
43,64,0.2840098047914215
44,31,0.27542287033381674
45,37,0.2670955587558985
46,66,0.25902002045313244
47,61,0.25118864315095807
48,54,0.2435940447292027
49,48,0.23622906626344622
50,68,0.22908676527677732
51,47,0.2221604091955812
52,52,0.2154434690031884
53,158,0.208929613085404
54,53,0.2026127012621144
55,35,0.1964867789993468
56,41,0.19054607179632477
57,45,0.18478497974222913
58,56,0.1791980722375334
59,91,0.17378008287493757
60,39,0.16852590447507515
61,108,0.16343058427231377
62,65,0.1584893192461114
63,109,0.15369745159352718
64,36,0.14905046433861965
65,85,0.1445439770745928
66,64,0.140173741834677
67,39,0.13593563908785258
68,54,0.13182567385564076
69,47,0.12783997194630242
70,35,0.12397477630289447
71,75,0.12022644346174133
72,76,0.11659144011798321
73,73,0.11306633979496393
74,102,0.10964781961431853
75,47,0.10633265716371615
76,82,0.10311772745930554
77,129,0.10000000000000002
78,57,0.09697653591082495
79,40,0.0940444851726352
80,112,0.091201083935591
81,106,0.08844365191385999
82,36,0.08576958985908942
83,129,0.08317637711026711
84,118,0.08066156921766135
85,67,0.0782227956386003
86,58,0.07585775750291841
87,97,0.07356422544596417
88,117,0.07134003750712566
89,97,0.06918309709189367
90,36,0.06709137099554115
91,59,0.06506288748655574
92,97,0.06309573444801934
93,70,0.06118805757518222
94,70,0.059338058627532816
95,31,0.05754399373371571
96,45,0.05580417174769966
97,80,0.05411695265464638
98,57,0.05248074602497727
99,194,0.05089400951518091
100,147,0.04935524741394807
101,165,0.047863009232263845
102,50,0.046415888336127795
103,102,0.045012520620613394
104,116,0.04365158322401662
105,87,0.04233179328088211
106,148,0.04105190671273081
107,219,0.03981071705534975
108,96,0.03860705432153815
109,105,0.037439783898238134
110,128,0.03630780547701015
111,100,0.03521005201684521
112,59,0.03414548873833603
113,37,0.03311311214825912
114,149,0.032111949093648236
115,69,0.031141055844467604
116,136,0.03019951720402017
117,86,0.029286445646252372
118,69,0.028400980479142156
119,179,0.02754228703338167
120,36,0.026709555875589854
121,39,0.025902002045313257
122,118,0.02511886431509582
123,100,0.024359404472920284
124,123,0.02362290662634463
125,79,0.022908676527677745
126,68,0.022216040919558127
127,59,0.02154434690031885
128,99,0.020892961308540407
129,37,0.020261270126211445
130,69,0.019648677899934686
131,129,0.01905460717963248
132,48,0.018478497974222918
133,138,0.017919807223753345
134,106,0.01737800828749377
135,57,0.016852590447507518
136,118,0.01634305842723139
137,128,0.01584893192461114
138,50,0.015369745159352726
139,96,0.014905046433861965
140,46,0.014454397707459285
141,139,0.014017374183467702
142,170,0.013593563908785265
143,102,0.013182567385564073
144,84,0.012783997194630244
145,90,0.012397477630289444
146,49,0.012022644346174135
147,100,0.011659144011798319
148,127,0.011306633979496395
149,137,0.010964781961431861
150,79,0.010633265716371618
151,116,0.010311772745930562
152,105,0.010000000000000004
153,89,0.009697653591082501
154,158,0.009404448517263521
155,80,0.009120108393559105
156,49,0.008844365191386
157,157,0.008576958985908947
158,99,0.008317637711026712
159,47,0.00806615692176614
160,108,0.007822279563860028
161,129,0.007585775750291843
162,125,0.007356422544596415
163,69,0.007134003750712567
164,119,0.006918309709189366
165,46,0.006709137099554116
166,110,0.006506288748655573
167,80,0.006309573444801936
168,97,0.006118805757518226
169,109,0.005933805862753283
170,89,0.005754399373371575
171,80,0.0055804171747699674
172,97,0.005411695265464642
173,138,0.005248074602497728
174,168,0.005089400951518094
175,45,0.0049355247413948086
176,110,0.004786300923226387
177,178,0.004641588833612781
178,50,0.00450125206206134
179,59,0.004365158322401661
180,90,0.004233179328088212
181,60,0.00410519067127308
182,40,0.003981071705534975
183,77,0.0038607054321538143
184,108,0.003743978389823814
185,178,0.0036307805477010175
186,178,0.0035210052016845217
187,100,0.003414548873833605
188,120,0.003311311214825913
189,120,0.003211194909364826
190,100,0.003114105584446761
191,129,0.003019951720402019
192,86,0.002928644564625238
193,77,0.0028400980479142174
194,109,0.0027542287033381677
195,178,0.002670955587558987
196,40,0.002590200204531325
197,40,0.0025118864315095825
198,138,0.002435940447292028
199,138,0.0023622906626344638
200,48,0.0022908676527677737
