Episodes,Episodic Return,Scores,Epsilon
1,10,1,1.0
2,-16,1,1.0
3,-140,4,0.9889645466969756
4,-8,4,0.9780508746235544
5,-88,4,0.9672576398686641
6,-80,5,0.9565835133519
7,7,1,0.946027180659862
8,-58,5,0.9355873418842983
9,13,4,0.9252627114620334
10,-25,4,0.9150520180166645
11,-97,4,0.9049540042020033
12,-111,4,0.8949674265472473
13,35,7,0.8850910553038572
14,-67,4,0.8753236742941269
15,-83,4,0.8656640807614223
16,-46,4,0.8561110852220741
17,-48,5,0.8466635113189045
18,14,2,0.8373201956763701
19,-82,4,0.8280799877573042
20,-173,6,0.8189417497212396
21,-75,5,0.8099043562842937
22,-54,4,0.8009666945806023
23,-57,4,0.7921276640252803
24,-17,3,0.7833861761788956
25,-32,4,0.7747411546134385
26,10,4,0.7661915347797708
27,-40,4,0.757736263876536
28,-17,5,0.7493743007205184
29,-33,4,0.7411046156184306
30,-8,6,0.7329261902401175
31,-13,6,0.7248380174931592
32,1,4,0.7168391013988566
33,4,4,0.7089284569695876
34,-29,4,0.7011051100875146
35,1,4,0.6933680973846321
36,-34,4,0.6857164661241372
37,2,4,0.6781492740831093
38,-40,4,0.6706655894364854
39,13,5,0.6632644906423136
40,33,5,0.6559450663282762
41,-9,4,0.6487064151794613
42,10,5,0.641547645827376
43,26,5,0.6344678767401827
44,18,4,0.6274662361141474
45,9,4,0.6205418617662853
46,5,4,0.6136939010281917
47,21,4,0.6069215106410442
48,31,5,0.6002238566517639
49,1,4,0.5936001143103221
50,34,7,0.5870494679681807
51,29,4,0.5805711109778525
52,9,5,0.5741642455935715
53,16,4,0.5678280828730574
54,26,4,0.5615618425803659
55,41,5,0.55536475308981
56,23,5,0.5492360512909418
57,33,6,0.5431749824945831
58,-9,4,0.5371808003398929
59,23,4,0.5312527667024608
60,1,4,0.5253901516034133
61,33,5,0.519592233119525
62,40,5,0.5138582972943203
63,37,5,0.5081876380501572
64,25,7,0.5025795571012804
65,74,10,0.4970333638678346
66,26,6,0.49154837539082596
67,41,10,0.48612391624802304
68,19,4,0.4807593184707846
69,21,5,0.4754539214618065
70,21,4,0.4702070719137749
71,22,4,0.4650181237289186
72,3,6,0.4598864379394481
73,28,5,0.45481138262887316
74,109,13,0.4497923328541883
75,44,8,0.44482867056891745
76,19,4,0.43991978454700775
77,3,4,0.4350650703075627
78,5,4,0.43026393004040664
79,26,4,0.42551577253246997
80,40,5,0.4208200130949875
81,19,5,0.4161760734914997
82,29,4,0.4115833818666482
83,18,4,0.40704137267575796
84,21,4,0.4025494866151957
85,44,6,0.39810717055349726
86,41,5,0.393713877463255
87,74,9,0.3893690663537566
88,47,5,0.3850722022043675
89,22,4,0.38082275589864845
90,33,5,0.3766202041591999
91,34,4,0.3724640294832255
92,25,4,0.3683537200788071
93,26,4,0.36428876980188213
94,28,4,0.3602686780939172
95,66,8,0.3562929499202695
96,29,4,0.3523610957092275
97,15,4,0.34847263129172584
98,31,5,0.34462707784172397
99,50,6,0.34082396181724395
100,24,4,0.33706281490205797
101,43,6,0.3333431739480204
102,35,5,0.3296645809180351
103,25,4,0.32602658282965297
104,48,6,0.3224287316992917
105,33,5,0.3188705844870708
106,20,5,0.3153517030422556
107,43,6,0.3118716540493036
108,53,6,0.3084300089745056
109,50,6,0.30502634401321604
110,42,5,0.30166024003766595
111,25,4,0.2983312825453512
112,48,5,0.2950390616079906
113,37,4,0.29178317182104746
114,22,4,0.28856321225380793
115,42,5,0.28537878640001035
116,37,5,0.28222950212901926
117,53,6,0.2791149716375387
118,62,7,0.27603481140185765
119,36,4,0.2729886421306233
120,46,6,0.2699760887181348
121,37,4,0.26699678019815265
122,45,5,0.26405034969821806
123,41,6,0.2611364343944761
124,52,6,0.25825467546699754
125,20,4,0.2554047180555938
126,33,4,0.25258621121611924
127,31,4,0.2497988078772559
128,21,4,0.24704216479777527
129,34,4,0.24431594252427138
