Episodes,Episodic Return,Epsilon
1,11,1.0
2,-123,1.0
3,-1,0.9889645466969756
4,-58,0.9780508746235544
5,-56,0.9672576398686641
6,-115,0.9565835133519
7,-57,0.946027180659862
8,-84,0.9355873418842983
9,-39,0.9252627114620334
10,-65,0.9150520180166645
11,20,0.9049540042020033
12,-2,0.8949674265472473
13,-127,0.8850910553038572
14,-117,0.8753236742941269
15,-91,0.8656640807614223
16,7,0.8561110852220741
17,-172,0.8466635113189045
18,-32,0.8373201956763701
19,-113,0.8280799877573042
20,-29,0.8189417497212396
21,-41,0.8099043562842937
22,-29,0.8009666945806023
23,-64,0.7921276640252803
24,-33,0.7833861761788956
25,-123,0.7747411546134385
26,20,0.7661915347797708
27,12,0.757736263876536
28,-32,0.7493743007205184
29,4,0.7411046156184306
30,-5,0.7329261902401175
31,0,0.7248380174931592
32,-32,0.7168391013988566
33,17,0.7089284569695876
34,-66,0.7011051100875146
35,-58,0.6933680973846321
36,-3,0.6857164661241372
37,10,0.6781492740831093
38,15,0.6706655894364854
39,-37,0.6632644906423136
40,1,0.6559450663282762
41,-2,0.6487064151794613
42,35,0.641547645827376
43,1,0.6344678767401827
44,-8,0.6274662361141474
45,-4,0.6205418617662853
46,-27,0.6136939010281917
47,18,0.6069215106410442
48,27,0.6002238566517639
49,23,0.5936001143103221
50,-5,0.5870494679681807
51,7,0.5805711109778525
52,2,0.5741642455935715
53,19,0.5678280828730574
54,39,0.5615618425803659
55,2,0.55536475308981
56,29,0.5492360512909418
57,22,0.5431749824945831
58,12,0.5371808003398929
59,-15,0.5312527667024608
60,29,0.5253901516034133
61,18,0.519592233119525
62,10,0.5138582972943203
63,27,0.5081876380501572
64,31,0.5025795571012804
65,35,0.4970333638678346
66,23,0.49154837539082596
67,-2,0.48612391624802304
68,27,0.4807593184707846
69,15,0.4754539214618065
70,14,0.4702070719137749
71,22,0.4650181237289186
72,18,0.4598864379394481
73,28,0.45481138262887316
74,33,0.4497923328541883
75,17,0.44482867056891745
76,33,0.43991978454700775
77,23,0.4350650703075627
78,27,0.43026393004040664
79,27,0.42551577253246997
80,39,0.4208200130949875
81,25,0.4161760734914997
82,20,0.4115833818666482
83,69,0.40704137267575796
84,40,0.4025494866151957
85,50,0.39810717055349726
86,33,0.393713877463255
87,13,0.3893690663537566
88,31,0.3850722022043675
89,50,0.38082275589864845
90,15,0.3766202041591999
91,27,0.3724640294832255
92,28,0.3683537200788071
93,31,0.36428876980188213
94,77,0.3602686780939172
95,44,0.3562929499202695
96,29,0.3523610957092275
97,35,0.34847263129172584
98,52,0.34462707784172397
99,33,0.34082396181724395
100,58,0.33706281490205797
101,21,0.3333431739480204
102,43,0.3296645809180351
103,36,0.32602658282965297
104,57,0.3224287316992917
105,36,0.3188705844870708
106,24,0.3153517030422556
107,38,0.3118716540493036
108,31,0.3084300089745056
109,96,0.30502634401321604
110,74,0.30166024003766595
111,41,0.2983312825453512
112,17,0.2950390616079906
113,45,0.29178317182104746
114,39,0.28856321225380793
115,36,0.28537878640001035
116,86,0.28222950212901926
117,41,0.2791149716375387
118,52,0.27603481140185765
119,31,0.2729886421306233
120,42,0.2699760887181348
121,32,0.26699678019815265
122,85,0.26405034969821806
123,64,0.2611364343944761
124,54,0.25825467546699754
125,53,0.2554047180555938
126,34,0.25258621121611924
127,34,0.2497988078772559
128,43,0.24704216479777527
129,53,0.24431594252427138
130,45,0.2416198053493604
131,68,0.23895342127034166
132,40,0.2363164619483149
133,33,0.23370860266774834
134,21,0.2311295222964933
135,30,0.22857890324624008
136,39,0.22605643143340967
137,39,0.22356179624047792
138,43,0.2210946904777259
139,30,0.21865481034541231
140,46,0.21624185539636387
141,51,0.21385552849897793
142,84,0.21149553580063385
143,63,0.20916158669150783
144,94,0.20685339376878725
145,83,0.2045706728012797
146,37,0.2023131426944129
147,53,0.20008052545562058
148,21,0.1978725461601105
149,42,0.19568893291701006
150,35,0.19352941683588573
151,34,0.19139373199363177
152,48,0.18928161540172447
153,37,0.18719280697383775
154,34,0.18512704949381592
155,35,0.18308408858400022
156,35,0.18106367267390472
157,72,0.17906555296923773
158,39,0.1770894834212655
159,76,0.17513522069651338
160,34,0.17320252414680215
161,91,0.17129115577961415
162,47,0.1694008802287872
163,46,0.16753146472553118
164,26,0.1656826790697653
165,101,0.16385429560177092
166,38,0.16204608917415764
167,48,0.1602578371241385
168,55,0.15848931924611137
169,46,0.15674031776454278
170,38,0.15501061730715096
171,81,0.1533000048783849
172,40,0.1516082698331961
173,37,0.14993520385109957
174,56,0.1482806009105213
