Episodes,Episodic Return,Epsilon
1,4,1.0
2,-19,0.99985
3,-16,0.9997
4,-7,0.99955
5,-19,0.9994000000000001
6,-4,0.9992500000000001
7,-8,0.9991000000000001
8,-6,0.9989500000000001
9,-1,0.9988000000000001
10,3,0.9986500000000001
11,-7,0.9985000000000002
12,2,0.9983500000000002
13,-15,0.9982000000000002
14,-13,0.9980500000000002
15,-10,0.9979000000000002
16,-16,0.9977500000000002
17,-20,0.9976000000000003
18,-1,0.9974500000000003
19,-8,0.9973000000000003
20,-1,0.9971500000000003
21,-3,0.9970000000000003
22,-21,0.9968500000000003
23,-9,0.9967000000000004
24,0,0.9965500000000004
25,-15,0.9964000000000004
26,3,0.9962500000000004
27,-7,0.9961000000000004
28,-18,0.9959500000000004
29,-14,0.9958000000000005
30,-14,0.9956500000000005
31,-26,0.9955000000000005
32,-19,0.9953500000000005
33,-6,0.9952000000000005
34,-13,0.9950500000000005
35,4,0.9949000000000006
36,-23,0.9947500000000006
37,-11,0.9946000000000006
38,3,0.9944500000000006
39,-8,0.9943000000000006
40,-12,0.9941500000000006
41,-4,0.9940000000000007
42,-21,0.9938500000000007
43,4,0.9937000000000007
44,-15,0.9935500000000007
45,-9,0.9934000000000007
46,-9,0.9932500000000007
47,-14,0.9931000000000008
48,-20,0.9929500000000008
49,-10,0.9928000000000008
50,-7,0.9926500000000008
51,-11,0.9925000000000008
52,-14,0.9923500000000008
53,-10,0.9922000000000009
54,-12,0.9920500000000009
55,-13,0.9919000000000009
56,-6,0.9917500000000009
57,10,0.9916000000000009
58,3,0.9914500000000009
59,-11,0.991300000000001
60,7,0.991150000000001
61,-11,0.991000000000001
62,-6,0.990850000000001
63,2,0.990700000000001
64,3,0.990550000000001
65,-13,0.9904000000000011
66,0,0.9902500000000011
67,-6,0.9901000000000011
68,3,0.9899500000000011
69,-5,0.9898000000000011
70,-9,0.9896500000000011
71,-14,0.9895000000000012
72,-9,0.9893500000000012
73,-13,0.9892000000000012
74,-11,0.9890500000000012
75,-6,0.9889000000000012
76,-42,0.9887500000000012
77,-9,0.9886000000000013
78,-11,0.9884500000000013
79,-8,0.9883000000000013
80,-11,0.9881500000000013
81,-9,0.9880000000000013
82,-26,0.9878500000000013
83,-12,0.9877000000000014
84,-10,0.9875500000000014
85,-14,0.9874000000000014
86,5,0.9872500000000014
87,-12,0.9871000000000014
88,8,0.9869500000000014
89,3,0.9868000000000015
90,8,0.9866500000000015
91,-15,0.9865000000000015
92,-9,0.9863500000000015
93,-5,0.9862000000000015
94,-13,0.9860500000000015
95,-16,0.9859000000000016
96,-7,0.9857500000000016
97,-17,0.9856000000000016
98,-3,0.9854500000000016
99,-13,0.9853000000000016
100,-10,0.9851500000000016
101,-15,0.9850000000000017
102,13,0.9848500000000017
103,-2,0.9847000000000017
104,-7,0.9845500000000017
105,-15,0.9844000000000017
106,-9,0.9842500000000017
107,-10,0.9841000000000018
108,-6,0.9839500000000018
109,-4,0.9838000000000018
110,-11,0.9836500000000018
111,-17,0.9835000000000018
112,-12,0.9833500000000018
113,-7,0.9832000000000019
114,-2,0.9830500000000019
115,-10,0.9829000000000019
116,-17,0.9827500000000019
117,-27,0.9826000000000019
118,-7,0.9824500000000019
119,10,0.982300000000002
120,-7,0.982150000000002
121,-13,0.982000000000002
122,2,0.981850000000002
123,-17,0.981700000000002
124,-10,0.981550000000002
125,15,0.981400000000002
126,-7,0.9812500000000021
127,-25,0.9811000000000021
128,-10,0.9809500000000021
129,-5,0.9808000000000021
130,-8,0.9806500000000021
131,14,0.9805000000000021
132,0,0.9803500000000022
133,-5,0.9802000000000022
134,-8,0.9800500000000022
135,-10,0.9799000000000022
136,2,0.9797500000000022
137,-10,0.9796000000000022
138,-8,0.9794500000000023
139,9,0.9793000000000023
140,-3,0.9791500000000023
141,-5,0.9790000000000023
142,-22,0.9788500000000023
143,-11,0.9787000000000023
144,-8,0.9785500000000024
145,-3,0.9784000000000024
146,-21,0.9782500000000024
147,11,0.9781000000000024
148,-7,0.9779500000000024
149,1,0.9778000000000024
150,-7,0.9776500000000025
151,4,0.9775000000000025
152,-16,0.9773500000000025
153,0,0.9772000000000025
154,-7,0.9770500000000025
155,-3,0.9769000000000025
156,-5,0.9767500000000026
157,-8,0.9766000000000026
158,-19,0.9764500000000026
159,-17,0.9763000000000026
160,6,0.9761500000000026
161,-8,0.9760000000000026
162,-10,0.9758500000000027
163,-9,0.9757000000000027
164,-3,0.9755500000000027
165,-4,0.9754000000000027
166,-4,0.9752500000000027
167,-11,0.9751000000000027
168,-15,0.9749500000000028
169,-10,0.9748000000000028
170,-10,0.9746500000000028
171,-14,0.9745000000000028
172,-4,0.9743500000000028
173,-10,0.9742000000000028
174,-9,0.9740500000000029
175,-6,0.9739000000000029
176,9,0.9737500000000029
177,-1,0.9736000000000029
178,-11,0.9734500000000029
179,-13,0.9733000000000029
180,-1,0.973150000000003
181,1,0.973000000000003
182,-10,0.972850000000003
183,-1,0.972700000000003
184,10,0.972550000000003
185,-6,0.972400000000003
186,-10,0.9722500000000031
187,-12,0.9721000000000031
188,-13,0.9719500000000031
189,-16,0.9718000000000031
190,-14,0.9716500000000031
191,-14,0.9715000000000031
192,12,0.9713500000000032
193,-16,0.9712000000000032
194,-1,0.9710500000000032
195,-8,0.9709000000000032
196,-13,0.9707500000000032
197,-25,0.9706000000000032
198,-6,0.9704500000000033
199,-6,0.9703000000000033
200,-9,0.9701500000000033
201,-7,0.9700000000000033
202,-3,0.9698500000000033
203,-21,0.9697000000000033
204,-3,0.9695500000000034
205,-23,0.9694000000000034
206,-16,0.9692500000000034
207,-2,0.9691000000000034
208,-12,0.9689500000000034
209,-8,0.9688000000000034
210,-1,0.9686500000000035
211,-4,0.9685000000000035
212,-22,0.9683500000000035
213,-6,0.9682000000000035
214,22,0.9680500000000035
215,-10,0.9679000000000035
216,-4,0.9677500000000036
217,13,0.9676000000000036
218,-11,0.9674500000000036
219,-9,0.9673000000000036
220,-17,0.9671500000000036
221,-14,0.9670000000000036
222,-9,0.9668500000000037
223,9,0.9667000000000037
224,-9,0.9665500000000037
225,-21,0.9664000000000037
226,-13,0.9662500000000037
227,-21,0.9661000000000037
228,-7,0.9659500000000038
229,-8,0.9658000000000038
230,-5,0.9656500000000038
231,-26,0.9655000000000038
232,-6,0.9653500000000038
233,-8,0.9652000000000038
234,8,0.9650500000000038
235,-12,0.9649000000000039
236,-8,0.9647500000000039
237,-9,0.9646000000000039
238,-5,0.9644500000000039
239,-10,0.9643000000000039
240,-26,0.964150000000004
241,-9,0.964000000000004
242,-16,0.963850000000004
243,3,0.963700000000004
244,-6,0.963550000000004
245,-12,0.963400000000004
246,-9,0.963250000000004
247,-14,0.9631000000000041
248,-10,0.9629500000000041
249,-6,0.9628000000000041
250,-12,0.9626500000000041
251,-4,0.9625000000000041
252,-18,0.9623500000000041
253,-15,0.9622000000000042
254,-9,0.9620500000000042
255,-20,0.9619000000000042
256,-10,0.9617500000000042
257,13,0.9616000000000042
258,-3,0.9614500000000042
259,-13,0.9613000000000043
260,3,0.9611500000000043
261,-19,0.9610000000000043
262,-16,0.9608500000000043
263,-14,0.9607000000000043
264,-13,0.9605500000000043
265,-14,0.9604000000000044
266,4,0.9602500000000044
267,-19,0.9601000000000044
268,-12,0.9599500000000044
269,-4,0.9598000000000044
270,-11,0.9596500000000044
271,31,0.9595000000000045
272,-13,0.9593500000000045
273,-9,0.9592000000000045
274,-3,0.9590500000000045
275,-11,0.9589000000000045
276,-17,0.9587500000000045
277,-1,0.9586000000000046
278,-21,0.9584500000000046
279,-25,0.9583000000000046
280,-10,0.9581500000000046
281,31,0.9580000000000046
282,4,0.9578500000000046
283,-27,0.9577000000000047
284,-5,0.9575500000000047
285,-20,0.9574000000000047
286,0,0.9572500000000047
