Episodes,Episodic Return,Scores,Epsilon
1,48,0,1.0
2,45,1,1.0
3,-96,4,0.9990793899844618
4,74,3,0.9981596274917243
5,48,0,0.9972407117415495
6,33,2,0.9963226419544177
7,32,2,0.995405417351527
8,52,0,0.9944890371547921
9,2,5,0.9935735005868445
10,49,2,0.9926588068710308
11,34,1,0.9917449552314132
12,45,0,0.9908319448927676
13,39,2,0.989919775080584
14,60,2,0.9890084450210656
15,-37,4,0.9880979539411272
16,53,0,0.9871883010683962
17,53,0,0.9862794856312105
18,56,3,0.9853715068586185
19,46,2,0.9844643639803784
20,48,0,0.9835580562269576
21,48,0,0.9826525828295318
22,54,0,0.9817479430199844
23,53,0,0.9808441360309061
24,51,0,0.9799411610955941
25,-35,5,0.9790390174480514
26,25,1,0.978137704322986
27,51,0,0.9772372209558107
28,54,1,0.976337566582642
29,28,2,0.9754387404402998
30,41,1,0.9745407417663065
31,50,0,0.9736435697988863
32,50,0,0.9727472237769651
33,44,1,0.971851702940169
34,46,0,0.9709570065288244
35,52,0,0.9700631337839569
36,-37,4,0.9691700839472911
37,50,0,0.9682778562612492
38,50,0,0.9673864499689512
39,46,0,0.9664958643142137
40,50,0,0.9656060985415498
41,43,1,0.9647171518961677
42,-130,4,0.9638290236239705
43,-52,4,0.9629417129715558
44,52,0,0.9620552191862147
45,64,2,0.961169541515931
46,17,2,0.9602846792093812
47,51,0,0.9594006315159331
48,48,0,0.9585173976856458
49,31,3,0.9576349769692688
50,55,1,0.9567533686182412
51,54,0,0.9558725718846913
52,62,3,0.954992586021436
53,48,1,0.9541134102819798
54,-49,4,0.953235043920515
55,43,1,0.9523574861919197
56,59,1,0.9514807363517586
57,8,4,0.9506047936562815
58,6,3,0.9497296573624229
59,22,3,0.9488553267278013
60,56,0,0.9479818010107189
61,0,2,0.9471090794701604
62,53,2,0.9462371613657931
63,60,2,0.9453660459579653
64,-29,4,0.9444957325077066
65,48,0,0.9436262202767268
66,65,1,0.9427575085274156
67,24,1,0.9418895965228413
68,36,1,0.9410224835267512
69,48,0,0.9401561688035698
70,39,1,0.9392906516183992
71,-50,4,0.9384259312370179
72,-8,3,0.9375620069258802
73,-52,4,0.9366988779521161
74,-62,4,0.9358365435835301
75,61,2,0.9349750030886004
76,25,1,0.9341142557364791
77,49,0,0.933254300796991
78,48,0,0.9323951375406332
79,-12,2,0.9315367652385742
80,48,0,0.9306791831626534
81,6,3,0.929822390585381
82,-18,3,0.9289663867799364
83,-58,4,0.9281111710201684
84,49,0,0.9272567425805943
85,53,0,0.9264031007363993
86,52,0,0.9255502447634356
87,-20,4,0.9246981739382226
88,50,0,0.9238468875379451
89,-40,5,0.9229963848404539
90,-51,4,0.9221466651242641
91,-11,4,0.9212977276685556
92,21,3,0.9204495717531713
93,59,2,0.9196021966586174
94,31,5,0.9187556016660626
95,26,3,0.917909786057337
96,54,0,0.917064749114932
97,10,1,0.9162204901219998
98,61,1,0.9153770083623521
99,45,1,0.9145343031204602
100,55,0,0.9136923736814543
101,-62,4,0.9128512193311222
102,69,1,0.9120108393559098
103,57,1,0.9111712330429192
104,44,2,0.9103323996799096
105,68,2,0.9094943385552954
106,51,0,0.908657048958146
107,48,0,0.9078205301781858
108,48,0,0.9069847815057925
109,58,2,0.9061498022319975
110,32,1,0.9053155916484847
111,30,2,0.9044821490475903
112,39,1,0.9036494737223014
113,19,3,0.9028175649662569
114,40,0,0.9019864220737451
115,51,0,0.9011560443397045
116,60,0,0.9003264310597225
117,26,2,0.8994975815300352
118,23,2,0.8986694950475262
119,57,0,0.8978421709097268
120,48,0,0.8970156084148148
121,0,4,0.8961898068616139
122,18,2,0.8953647655495939
123,45,0,0.8945404837788689
124,44,0,0.8937169608501976
125,-51,4,0.8928941960649825
126,-55,4,0.8920721887252692
127,54,0,0.8912509381337456
128,-30,4,0.8904304435937418
129,63,1,0.8896107044092292
130,35,2,0.8887917198848201
131,52,0,0.8879734893257667
132,53,0,0.8871560120379609
133,54,0,0.8863392873279338
134,-6,4,0.8855233145028547
135,-39,4,0.8847080928705308
136,15,3,0.8838936217394064
137,45,0,0.8830799004185628
138,42,1,0.8822669282177169
139,-30,4,0.8814547044472215
140,-11,4,0.8806432284180642
141,38,3,0.8798324994418666
142,-36,4,0.8790225168308844
143,25,1,0.8782132798980062
144,54,0,0.8774047879567535
145,47,0,0.8765970403212793
146,52,0,0.8757900363063683
147,33,1,0.8749837752274361
148,5,2,0.8741782564005283
149,-54,4,0.8733734791423202
150,49,0,0.8725694427701163
151,35,1,0.8717661466018495
152,-56,4,0.8709635899560807
153,23,1,0.870161772151998
154,68,2,0.8693606925094163
155,34,2,0.8685603503487769
156,48,0,0.8677607449911464
157,-17,3,0.8669618757582166
158,55,0,0.8661637419723038
159,41,2,0.8653663429563481
160,33,2,0.8645696780339127
161,64,3,0.863773746529184
162,21,2,0.8629785477669704
163,60,1,0.8621840810727014
164,50,0,0.8613903457724282
165,33,2,0.8605973411928222
166,51,1,0.8598050666611745
167,49,0,0.8590135215053957
168,44,1,0.8582227050540151
169,48,0,0.8574326166361801
170,58,0,0.8566432555816557
171,39,2,0.8558546212208239
172,46,0,0.8550667128846833
173,49,0,0.8542795299048483
174,-51,5,0.8534930716135486
175,-20,5,0.8527073373436287
176,52,1,0.8519223264285473
177,54,0,0.8511380382023764
178,54,0,0.8503544719998019
179,-63,4,0.8495716271561211
180,-79,4,0.848789503007244
181,48,1,0.8480080988896919
182,45,2,0.8472274141405964
183,-67,4,0.8464474480977001
184,-40,4,0.8456682000993545
185,53,0,0.8448896694845209
186,67,2,0.8441118555927687
187,56,0,0.8433347577642754
