Episodes,Episodic Return,Scores,Epsilon
1,94,0,1.0
2,123,1,0.997
3,112,1,0.994
4,122,1,0.991
5,155,3,0.988
6,105,1,0.985
7,121,1,0.982
8,98,0,0.979
9,121,2,0.976
10,110,1,0.973
11,60,4,0.97
12,111,1,0.967
13,80,4,0.964
14,107,1,0.961
15,130,2,0.958
16,115,1,0.955
17,159,3,0.952
18,61,4,0.949
19,154,3,0.946
20,94,0,0.943
21,155,3,0.94
22,127,1,0.9369999999999999
23,112,1,0.9339999999999999
24,141,2,0.9309999999999999
25,124,1,0.9279999999999999
26,138,3,0.9249999999999999
27,79,4,0.9219999999999999
28,98,0,0.9189999999999999
29,128,2,0.9159999999999999
30,56,4,0.9129999999999999
31,98,0,0.9099999999999999
32,126,1,0.9069999999999999
33,118,2,0.9039999999999999
34,135,3,0.9009999999999999
35,135,1,0.8979999999999999
36,94,0,0.8949999999999999
37,82,5,0.8919999999999999
38,112,1,0.8889999999999999
39,118,1,0.8859999999999999
40,47,4,0.8829999999999999
41,137,2,0.8799999999999999
42,72,4,0.8769999999999999
43,111,1,0.8739999999999999
44,50,4,0.8709999999999999
45,148,3,0.8679999999999999
46,134,2,0.8649999999999999
47,126,1,0.8619999999999999
48,56,4,0.8589999999999999
49,132,1,0.8559999999999999
50,110,0,0.8529999999999999
51,141,1,0.8499999999999999
52,130,2,0.8469999999999999
53,125,3,0.8439999999999999
54,92,5,0.8409999999999999
55,173,3,0.8379999999999999
56,123,1,0.8349999999999999
57,44,4,0.8319999999999999
58,62,4,0.8289999999999998
59,82,5,0.8259999999999998
60,185,4,0.8229999999999998
61,54,4,0.8199999999999998
62,128,1,0.8169999999999998
63,81,5,0.8139999999999998
64,149,3,0.8109999999999998
65,152,3,0.8079999999999998
66,168,3,0.8049999999999998
67,128,1,0.8019999999999998
68,60,4,0.7989999999999998
69,60,4,0.7959999999999998
70,120,1,0.7929999999999998
71,150,3,0.7899999999999998
72,61,4,0.7869999999999998
73,69,4,0.7839999999999998
74,74,5,0.7809999999999998
75,152,3,0.7779999999999998
76,103,6,0.7749999999999998
77,74,4,0.7719999999999998
78,74,4,0.7689999999999998
79,78,4,0.7659999999999998
80,108,6,0.7629999999999998
81,141,3,0.7599999999999998
82,62,4,0.7569999999999998
83,99,5,0.7539999999999998
84,66,4,0.7509999999999998
85,99,6,0.7479999999999998
86,66,4,0.7449999999999998
87,68,4,0.7419999999999998
88,85,5,0.7389999999999998
89,110,1,0.7359999999999998
90,104,0,0.7329999999999998
91,76,4,0.7299999999999998
92,75,4,0.7269999999999998
93,112,0,0.7239999999999998
94,65,4,0.7209999999999998
95,81,5,0.7179999999999997
96,87,5,0.7149999999999997
97,98,4,0.7119999999999997
98,57,4,0.7089999999999997
99,90,4,0.7059999999999997
100,114,0,0.7029999999999997
101,63,4,0.6999999999999997
102,97,6,0.6969999999999997
103,151,3,0.6939999999999997
104,102,6,0.6909999999999997
105,180,3,0.6879999999999997
106,177,3,0.6849999999999997
107,136,2,0.6819999999999997
108,142,2,0.6789999999999997
109,158,3,0.6759999999999997
110,141,1,0.6729999999999997
111,106,7,0.6699999999999997
112,96,5,0.6669999999999997
113,67,4,0.6639999999999997
114,62,4,0.6609999999999997
115,73,4,0.6579999999999997
116,136,2,0.6549999999999997
117,87,4,0.6519999999999997
118,109,5,0.6489999999999997
119,89,5,0.6459999999999997
120,69,4,0.6429999999999997
121,76,5,0.6399999999999997
122,79,4,0.6369999999999997
123,55,4,0.6339999999999997
124,87,6,0.6309999999999997
125,90,5,0.6279999999999997
126,116,8,0.6249999999999997
127,139,1,0.6219999999999997
128,102,0,0.6189999999999997
129,82,4,0.6159999999999997
130,58,4,0.6129999999999997
131,91,4,0.6099999999999997
132,140,3,0.6069999999999997
133,61,4,0.6039999999999996
134,101,6,0.6009999999999996
135,75,5,0.5979999999999996
136,105,7,0.5949999999999996
137,68,4,0.5919999999999996
138,74,4,0.5889999999999996
139,105,4,0.5859999999999996
140,80,4,0.5829999999999996
141,106,5,0.5799999999999996
142,123,6,0.5769999999999996
143,213,4,0.5739999999999996
144,97,6,0.5709999999999996
145,101,4,0.5679999999999996
146,126,8,0.5649999999999996
147,82,4,0.5619999999999996
148,109,6,0.5589999999999996
149,83,6,0.5559999999999996
150,81,5,0.5529999999999996
151,75,5,0.5499999999999996
152,58,4,0.5469999999999996
153,106,0,0.5439999999999996
154,85,4,0.5409999999999996
155,126,7,0.5379999999999996
156,96,5,0.5349999999999996
157,141,2,0.5319999999999996
158,81,5,0.5289999999999996
159,64,4,0.5259999999999996
160,114,6,0.5229999999999996
161,127,6,0.5199999999999996
162,105,6,0.5169999999999996
163,104,6,0.5139999999999996
164,122,5,0.5109999999999996
165,123,8,0.5079999999999996
166,125,7,0.5049999999999996
167,154,1,0.5019999999999996
168,104,7,0.49899999999999956
169,104,6,0.49599999999999955
170,130,9,0.49299999999999955
171,128,7,0.48999999999999955
172,89,5,0.48699999999999954
173,113,6,0.48399999999999954
174,188,11,0.48099999999999954
175,78,5,0.47799999999999954
176,92,6,0.47499999999999953
177,72,4,0.47199999999999953
178,62,4,0.46899999999999953
179,85,5,0.4659999999999995
180,129,8,0.4629999999999995
181,166,9,0.4599999999999995
182,102,5,0.4569999999999995
183,125,8,0.4539999999999995
184,129,8,0.4509999999999995
185,204,11,0.4479999999999995
186,101,6,0.4449999999999995
187,83,4,0.4419999999999995
188,77,4,0.4389999999999995
189,100,6,0.4359999999999995
190,114,4,0.4329999999999995
191,98,5,0.4299999999999995
192,85,5,0.4269999999999995
193,88,6,0.4239999999999995
194,156,9,0.4209999999999995
195,137,8,0.4179999999999995
196,87,5,0.4149999999999995
197,80,5,0.4119999999999995
198,170,9,0.4089999999999995
199,130,7,0.4059999999999995
200,143,9,0.40299999999999947
201,121,6,0.39999999999999947
202,151,9,0.39699999999999946
203,105,4,0.39399999999999946
204,186,10,0.39099999999999946
205,90,5,0.38799999999999946
206,180,8,0.38499999999999945
207,185,11,0.38199999999999945
208,175,8,0.37899999999999945
209,155,7,0.37599999999999945
210,202,11,0.37299999999999944
211,150,8,0.36999999999999944
212,122,7,0.36699999999999944
213,266,15,0.36399999999999944
214,123,7,0.36099999999999943
215,77,4,0.35799999999999943
216,229,11,0.3549999999999994
217,148,10,0.3519999999999994
218,144,6,0.3489999999999994
219,137,7,0.3459999999999994
220,102,7,0.3429999999999994
221,178,9,0.3399999999999994
222,93,4,0.3369999999999994
223,82,5,0.3339999999999994
224,313,16,0.3309999999999994
225,124,7,0.3279999999999994
226,244,14,0.3249999999999994
227,211,11,0.3219999999999994
228,201,10,0.3189999999999994
229,190,11,0.3159999999999994
230,134,8,0.3129999999999994
231,245,12,0.3099999999999994
232,97,5,0.3069999999999994
233,222,13,0.3039999999999994
234,156,9,0.3009999999999994
235,98,6,0.2979999999999994
236,59,4,0.2949999999999994
237,161,9,0.29199999999999937
238,114,6,0.28899999999999937
239,75,4,0.28599999999999937
240,68,4,0.28299999999999936
241,102,6,0.27999999999999936
242,250,15,0.27699999999999936
243,282,15,0.27399999999999936
244,197,10,0.27099999999999935
245,352,21,0.26799999999999935
246,81,5,0.26499999999999935
247,158,8,0.26199999999999934
248,89,6,0.25899999999999934
249,138,8,0.25599999999999934
250,138,7,0.25299999999999934
251,113,6,0.24999999999999933
252,116,7,0.24699999999999933
253,141,9,0.24399999999999933
254,159,9,0.24099999999999933
255,115,7,0.23799999999999932
256,148,9,0.23499999999999932
257,152,9,0.23199999999999932
258,101,6,0.22899999999999932
259,157,9,0.2259999999999993
260,93,5,0.2229999999999993
261,158,10,0.2199999999999993
262,154,9,0.2169999999999993
263,221,13,0.2139999999999993
264,100,6,0.2109999999999993
265,227,15,0.2079999999999993
266,135,9,0.2049999999999993
267,110,6,0.2019999999999993
268,78,4,0.1989999999999993
269,314,18,0.19599999999999929
270,267,14,0.19299999999999928
271,116,6,0.18999999999999928
272,285,17,0.18699999999999928
273,139,8,0.18399999999999928
274,160,9,0.18099999999999927
275,318,18,0.17799999999999927
276,228,14,0.17499999999999927
277,172,10,0.17199999999999926
278,232,12,0.16899999999999926
279,190,1,0.16599999999999926
280,316,17,0.16299999999999926
281,112,7,0.15999999999999925
282,101,6,0.15699999999999925
283,140,8,0.15399999999999925
284,179,8,0.15099999999999925
285,196,13,0.14799999999999924
286,354,19,0.14499999999999924
287,133,9,0.14199999999999924
288,162,9,0.13899999999999924
289,232,12,0.13599999999999923
290,327,13,0.13299999999999923
291,287,16,0.12999999999999923
292,335,16,0.12699999999999922
293,268,7,0.12399999999999922
294,129,8,0.12099999999999922
295,119,7,0.11799999999999922
296,283,16,0.11499999999999921
297,125,7,0.11199999999999921
298,79,4,0.10899999999999921
299,225,12,0.1059999999999992
300,151,10,0.1029999999999992
301,266,13,0.0999999999999992
302,276,12,0.0969999999999992
303,311,14,0.0939999999999992
304,266,15,0.09099999999999919
305,367,23,0.08799999999999919
306,237,15,0.08499999999999919
307,314,17,0.08199999999999918
308,185,11,0.07899999999999918
309,147,9,0.07599999999999918
310,286,15,0.07299999999999918
311,176,11,0.06999999999999917
312,302,18,0.06699999999999917
313,178,10,0.06399999999999917
314,373,22,0.060999999999999166
315,405,26,0.05799999999999916
316,252,15,0.05499999999999916
317,302,17,0.05199999999999916
318,199,12,0.048999999999999155
319,305,18,0.04599999999999915
320,154,9,0.04299999999999915
321,164,9,0.03999999999999915
322,198,12,0.036999999999999145
323,242,15,0.03399999999999914
324,170,11,0.030999999999999143
325,283,18,0.027999999999999144
326,296,17,0.024999999999999144
327,273,12,0.021999999999999145
328,123,8,0.018999999999999146
329,255,13,0.015999999999999147
330,253,15,0.012999999999999148
331,380,21,0.009999999999999148
332,248,17,0.01
333,335,19,0.01
334,364,21,0.01
335,232,3,0.01
336,253,5,0.01
337,344,20,0.01
338,247,4,0.01
339,220,2,0.01
340,264,16,0.01
341,297,13,0.01
342,285,16,0.01
343,246,4,0.01
344,288,8,0.01
345,229,12,0.01
346,235,14,0.01
347,279,6,0.01
348,195,1,0.01
349,289,7,0.01
350,321,8,0.01
351,242,13,0.01
352,214,2,0.01
353,270,6,0.01
354,374,19,0.01
355,237,4,0.01
356,229,13,0.01
357,203,1,0.01
358,160,10,0.01
359,216,2,0.01
360,212,14,0.01
361,137,8,0.01
362,234,3,0.01
363,305,14,0.01
364,231,3,0.01
365,231,3,0.01
366,215,13,0.01
367,352,20,0.01
368,209,2,0.01
369,264,16,0.01
370,285,17,0.01
371,267,13,0.01
372,333,20,0.01
373,253,14,0.01
374,304,19,0.01
375,546,26,0.01
376,365,8,0.01
377,350,21,0.01
378,211,2,0.01
379,237,3,0.01
380,180,0,0.01
381,198,1,0.01
382,300,18,0.01
383,192,11,0.01
384,286,15,0.01
385,248,4,0.01
386,283,6,0.01
387,190,11,0.01
388,344,20,0.01
389,395,8,0.01
390,280,4,0.01
391,248,5,0.01
392,197,1,0.01
393,356,18,0.01
394,241,4,0.01
395,178,0,0.01
396,244,14,0.01
397,245,4,0.01
398,180,0,0.01
399,234,4,0.01
400,215,2,0.01
401,202,13,0.01
402,221,13,0.01
403,224,2,0.01
404,214,2,0.01
405,213,2,0.01
406,189,11,0.01
407,276,5,0.01
408,341,17,0.01
409,225,13,0.01
410,180,0,0.01
411,217,2,0.01
412,284,6,0.01
