Episodes,Episodic Return,Scores,Epsilon
1,100,0,1.0
2,111,1,1.0
3,142,2,0.995405417351527
4,84,0,0.9908319448927676
5,120,1,0.9862794856312105
6,50,4,0.9817479430199844
7,57,4,0.9772372209558107
8,45,4,0.9727472237769651
9,85,5,0.9682778562612492
10,60,4,0.9638290236239705
11,94,0,0.9594006315159331
12,58,4,0.954992586021436
13,55,4,0.9506047936562815
14,108,1,0.9462371613657931
15,106,5,0.9418895965228413
16,79,4,0.9375620069258802
17,110,7,0.933254300796991
18,75,4,0.9289663867799364
19,103,4,0.9246981739382226
20,56,4,0.9204495717531713
21,56,4,0.9162204901219998
22,149,3,0.9120108393559098
23,69,4,0.9078205301781858
24,66,4,0.9036494737223014
25,81,4,0.8994975815300352
26,57,4,0.8953647655495939
27,57,4,0.8912509381337456
28,96,4,0.8871560120379609
29,71,4,0.8830799004185628
30,116,0,0.8790225168308844
31,121,1,0.8749837752274361
32,70,4,0.8709635899560807
33,59,4,0.8669618757582166
34,62,4,0.8629785477669704
35,98,0,0.8590135215053958
36,158,2,0.8550667128846833
37,99,6,0.8511380382023765
38,78,5,0.8472274141405964
39,164,3,0.8433347577642754
40,76,4,0.8394599865193975
41,72,4,0.835603018231248
42,86,5,0.831763771102671
43,75,4,0.8279421637123342
44,71,4,0.8241381150130023
45,65,4,0.8203515443298183
46,77,4,0.8165823713585925
47,94,4,0.8128305161640993
48,79,4,0.8090958991783823
49,81,5,0.8053784411990667
50,61,4,0.8016780633876791
51,74,4,0.7979946872679766
52,44,4,0.7943282347242815
53,52,4,0.7906786279998251
54,64,4,0.7870457896950986
55,110,4,0.7834296427662117
56,185,3,0.7798301105232588
57,64,4,0.7762471166286917
58,101,5,0.7726805850957024
59,90,4,0.7691304402866096
60,126,6,0.7655966069112563
61,75,5,0.7620790100254121
62,83,4,0.7585775750291838
63,131,7,0.7550922276654339
64,79,4,0.7516228940182055
65,101,4,0.7481695005111544
66,78,5,0.7447319739059891
67,79,4,0.7413102413009175
68,89,4,0.737904230129101
69,126,5,0.734513868157115
70,91,6,0.7311390834834175
71,122,5,0.7277798045368241
72,58,4,0.7244359600749901
73,102,5,0.7211074791828996
74,132,5,0.7177942912713617
75,90,5,0.7144963260755134
76,59,4,0.7112135136533291
77,84,5,0.7079457843841379
78,117,4,0.7046930689671469
79,62,4,0.7014552984199712
