Episodes,Episodic Return,Scores,Epsilon
1,59,1,1.0
2,44,1,1.0
3,47,0,0.9990793899844618
4,52,1,0.9981596274917243
5,37,2,0.9972407117415495
6,31,1,0.9963226419544177
7,21,1,0.995405417351527
8,50,0,0.9944890371547921
9,46,0,0.9935735005868445
10,-13,3,0.9926588068710308
11,47,0,0.9917449552314132
12,-8,3,0.9908319448927676
13,50,0,0.989919775080584
14,52,0,0.9890084450210656
15,-32,4,0.9880979539411272
16,53,0,0.9871883010683962
17,-36,4,0.9862794856312105
18,-124,4,0.9853715068586185
19,-55,4,0.9844643639803784
20,54,0,0.9835580562269576
21,43,0,0.9826525828295318
22,51,0,0.9817479430199844
23,9,2,0.9808441360309061
24,39,1,0.9799411610955941
25,19,2,0.9790390174480514
26,39,1,0.978137704322986
27,54,1,0.9772372209558107
28,-48,4,0.976337566582642
29,50,2,0.9754387404402998
30,-49,4,0.9745407417663065
31,51,0,0.9736435697988863
32,54,0,0.9727472237769651
33,54,1,0.971851702940169
34,49,0,0.9709570065288244
35,16,2,0.9700631337839569
36,43,0,0.9691700839472911
37,51,0,0.9682778562612492
38,22,3,0.9673864499689512
39,64,1,0.9664958643142137
40,54,0,0.9656060985415498
41,54,2,0.9647171518961677
42,52,0,0.9638290236239705
43,49,0,0.9629417129715558
44,51,0,0.9620552191862147
45,-3,3,0.961169541515931
46,40,3,0.9602846792093812
47,58,1,0.9594006315159331
48,48,2,0.9585173976856458
49,51,0,0.9576349769692688
50,30,1,0.9567533686182412
51,54,0,0.9558725718846913
52,55,1,0.954992586021436
53,61,1,0.9541134102819798
54,43,1,0.953235043920515
55,36,1,0.9523574861919197
56,30,1,0.9514807363517586
57,-66,4,0.9506047936562815
58,25,2,0.9497296573624229
59,-85,4,0.9488553267278013
60,58,0,0.9479818010107189
61,59,1,0.9471090794701604
62,49,0,0.9462371613657931
63,-11,5,0.9453660459579653
64,57,1,0.9444957325077066
65,47,1,0.9436262202767268
66,-13,4,0.9427575085274156
67,31,2,0.9418895965228413
68,43,2,0.9410224835267512
69,49,0,0.9401561688035698
70,-78,4,0.9392906516183992
71,-30,4,0.9384259312370179
72,44,0,0.9375620069258802
73,-42,5,0.9366988779521161
74,12,2,0.9358365435835301
75,42,3,0.9349750030886004
76,39,1,0.9341142557364791
77,51,0,0.933254300796991
78,-56,4,0.9323951375406332
79,51,1,0.9315367652385742
80,38,2,0.9306791831626534
81,55,0,0.929822390585381
82,-46,4,0.9289663867799364
83,33,3,0.9281111710201684
84,31,1,0.9272567425805943
85,18,2,0.9264031007363993
86,51,2,0.9255502447634356
87,34,1,0.9246981739382226
88,-45,5,0.9238468875379451
89,-11,4,0.9229963848404539
90,51,0,0.9221466651242641
91,19,3,0.9212977276685556
92,-126,4,0.9204495717531713
93,49,0,0.9196021966586174
94,62,1,0.9187556016660626
95,55,2,0.917909786057337
96,42,2,0.917064749114932
97,37,3,0.9162204901219998
98,-18,4,0.9153770083623521
99,21,1,0.9145343031204602
100,56,1,0.9136923736814543
101,-79,4,0.9128512193311222
102,47,0,0.9120108393559098
103,43,2,0.9111712330429192
104,40,1,0.9103323996799096
105,43,0,0.9094943385552954
106,-28,4,0.908657048958146
107,18,2,0.9078205301781858
108,53,0,0.9069847815057925
109,50,0,0.9061498022319975
110,52,1,0.9053155916484847
111,49,0,0.9044821490475903
112,45,0,0.9036494737223014
113,-68,4,0.9028175649662569
114,-32,4,0.9019864220737451
115,52,0,0.9011560443397045
116,51,0,0.9003264310597225
117,52,1,0.8994975815300352
118,5,4,0.8986694950475262
119,28,3,0.8978421709097268
120,21,2,0.8970156084148148
121,54,0,0.8961898068616139
122,52,0,0.8953647655495939
123,49,0,0.8945404837788689
124,42,3,0.8937169608501976
125,-65,4,0.8928941960649825
126,52,0,0.8920721887252692
127,13,5,0.8912509381337456
128,-27,5,0.8904304435937418
129,-66,4,0.8896107044092292
130,35,3,0.8887917198848201
131,17,2,0.8879734893257667
132,6,4,0.8871560120379609
133,51,2,0.8863392873279338
134,56,1,0.8855233145028547
135,2,3,0.8847080928705308
136,32,2,0.8838936217394064
137,44,1,0.8830799004185628
138,39,1,0.8822669282177169
139,-48,4,0.8814547044472215
140,53,0,0.8806432284180642
141,37,3,0.8798324994418666
142,27,1,0.8790225168308844
143,34,1,0.8782132798980062
144,63,1,0.8774047879567535
145,59,1,0.8765970403212793
146,40,2,0.8757900363063683
147,43,1,0.8749837752274361
148,31,2,0.8741782564005283
149,4,3,0.8733734791423202
150,21,1,0.8725694427701163
151,44,1,0.8717661466018495
152,58,1,0.8709635899560807
153,43,2,0.870161772151998
154,54,2,0.8693606925094163
155,-64,4,0.8685603503487769
156,-15,4,0.8677607449911464
157,-30,4,0.8669618757582166
158,52,0,0.8661637419723038
159,-25,4,0.8653663429563481
160,-72,4,0.8645696780339127
161,19,2,0.863773746529184
162,49,0,0.8629785477669704
163,53,3,0.8621840810727014
164,51,3,0.8613903457724282
165,25,2,0.8605973411928222
166,43,2,0.8598050666611745
167,56,0,0.8590135215053957
168,61,1,0.8582227050540151
169,48,0,0.8574326166361801
170,-50,4,0.8566432555816557
171,45,2,0.8558546212208239
172,-68,4,0.8550667128846833
173,59,1,0.8542795299048483
174,59,1,0.8534930716135486
175,-50,5,0.8527073373436287
176,11,2,0.8519223264285473
177,-28,4,0.8511380382023764
178,7,3,0.8503544719998019
179,12,2,0.8495716271561211
