Episodes,Episodic Return,Scores,Epsilon
1,96,0,1.0
2,96,0,1.0
3,104,0,1.0
4,133,2,1.0
5,119,1,1.0
6,118,0,1.0
7,68,4,1.0
8,134,3,1.0
9,146,3,1.0
10,142,3,1.0
11,86,0,1.0
12,124,1,1.0
13,110,0,1.0
14,116,1,1.0
15,115,1,1.0
16,128,2,1.0
17,100,0,1.0
18,56,4,1.0
19,94,0,1.0
20,108,0,1.0
21,61,5,1.0
22,115,1,1.0
23,102,0,1.0
24,65,4,1.0
25,94,0,1.0
26,56,4,1.0
27,94,0,1.0
28,126,3,1.0
29,98,0,1.0
30,106,1,1.0
31,131,1,1.0
32,106,1,1.0
33,129,2,1.0
34,113,1,1.0
35,123,1,1.0
36,114,1,1.0
37,104,0,1.0
38,96,0,1.0
39,88,0,1.0
40,120,1,1.0
41,37,4,1.0
42,104,0,1.0
43,96,0,1.0
44,49,4,1.0
45,96,0,1.0
46,116,1,1.0
47,106,2,1.0
48,100,0,1.0
49,137,3,1.0
50,98,0,1.0
51,121,2,1.0
52,98,0,1.0
53,114,2,1.0
54,124,2,1.0
55,127,2,1.0
56,130,2,1.0
57,96,0,1.0
58,90,0,1.0
59,118,0,1.0
60,98,0,1.0
61,67,4,1.0
62,90,0,1.0
63,106,0,1.0
64,102,0,1.0
65,58,4,1.0
66,125,1,1.0
67,66,5,1.0
68,112,0,1.0
69,109,1,1.0
70,66,4,1.0
71,104,0,1.0
72,123,1,1.0
73,96,0,1.0
74,127,3,1.0
75,90,0,1.0
76,102,0,1.0
77,104,0,1.0
78,98,0,1.0
79,107,1,1.0
80,125,2,1.0
81,131,2,1.0
82,102,0,1.0
83,136,2,1.0
84,57,4,1.0
85,52,4,1.0
86,88,0,1.0
87,94,0,1.0
88,119,1,1.0
89,54,4,1.0
90,100,0,1.0
91,113,1,1.0
92,63,4,1.0
93,73,4,1.0
94,101,1,1.0
95,105,1,1.0
96,46,4,1.0
97,98,1,1.0
98,130,3,1.0
99,96,0,1.0
100,143,3,1.0
101,122,2,1.0
102,117,1,1.0
103,104,0,1.0
104,86,0,1.0
105,106,0,1.0
106,96,0,1.0
107,119,1,1.0
108,100,0,1.0
109,110,0,1.0
110,87,5,1.0
111,125,1,1.0
112,168,3,1.0
113,94,0,1.0
114,114,1,1.0
115,100,0,1.0
116,131,3,1.0
117,102,0,1.0
118,46,4,1.0
119,106,1,1.0
120,90,0,1.0
121,126,2,1.0
122,106,1,1.0
123,114,0,1.0
124,46,4,1.0
125,79,5,1.0
126,52,4,1.0
127,106,0,1.0
128,92,0,1.0
129,94,0,1.0
130,106,0,1.0
131,100,0,1.0
132,134,1,1.0
133,116,2,1.0
134,102,0,1.0
135,105,1,1.0
136,113,1,1.0
137,104,0,1.0
138,71,5,1.0
139,100,0,1.0
140,98,0,1.0
141,103,1,1.0
142,110,0,1.0
143,51,4,1.0
144,100,0,1.0
145,60,4,1.0
146,128,1,1.0
147,116,0,1.0
148,126,2,1.0
149,96,0,1.0
150,115,1,1.0
151,60,5,1.0
152,112,1,1.0
153,118,1,1.0
154,132,3,1.0
155,106,0,1.0
