Episodes,Episodic Return,Epsilon
1,-100,1.0
2,-100,0.999
3,-100,0.998
4,-100,0.997
5,-100,0.996
6,-100,0.995
7,-90,0.994
8,-100,0.993
9,-100,0.992
10,-100,0.991
11,-100,0.99
12,-100,0.989
13,-100,0.988
14,-100,0.987
15,-100,0.986
16,-100,0.985
17,-100,0.984
18,-100,0.983
19,-100,0.982
20,-100,0.981
21,-100,0.98
22,-100,0.979
23,-100,0.978
24,-100,0.977
25,-90,0.976
26,-100,0.975
27,-100,0.974
28,-100,0.973
29,-90,0.972
30,-100,0.971
31,-90,0.97
32,-100,0.969
33,-100,0.968
34,-100,0.967
35,-100,0.966
36,-90,0.965
37,-100,0.964
38,-100,0.963
39,-100,0.962
40,-100,0.961
41,-90,0.96
42,-100,0.959
43,-80,0.958
44,-100,0.957
45,-100,0.956
46,-100,0.955
47,-100,0.954
48,-100,0.953
49,-100,0.952
50,-90,0.951
51,-100,0.95
52,-100,0.949
53,-100,0.948
54,-100,0.947
55,-90,0.946
56,-100,0.945
57,-100,0.944
58,-100,0.943
59,-90,0.942
60,-100,0.941
61,-100,0.94
62,-100,0.939
63,-90,0.938
64,-100,0.9369999999999999
65,-90,0.9359999999999999
66,-90,0.9349999999999999
67,-100,0.9339999999999999
68,-100,0.9329999999999999
69,-100,0.9319999999999999
70,-100,0.9309999999999999
71,-100,0.9299999999999999
72,-100,0.9289999999999999
73,-100,0.9279999999999999
74,-90,0.9269999999999999
75,-90,0.9259999999999999
76,-100,0.9249999999999999
77,-100,0.9239999999999999
78,-100,0.9229999999999999
79,-100,0.9219999999999999
80,-100,0.9209999999999999
81,-70,0.9199999999999999
82,-90,0.9189999999999999
83,-100,0.9179999999999999
84,-100,0.9169999999999999
85,-100,0.9159999999999999
86,-100,0.9149999999999999
87,-100,0.9139999999999999
88,-100,0.9129999999999999
89,-100,0.9119999999999999
90,-90,0.9109999999999999
91,-100,0.9099999999999999
92,-100,0.9089999999999999
93,-100,0.9079999999999999
94,-90,0.9069999999999999
95,-100,0.9059999999999999
96,-100,0.9049999999999999
97,-100,0.9039999999999999
98,-100,0.9029999999999999
99,-100,0.9019999999999999
100,-100,0.9009999999999999
101,-100,0.8999999999999999
102,-80,0.8989999999999999
103,-90,0.8979999999999999
104,-90,0.8969999999999999
105,-100,0.8959999999999999
106,-100,0.8949999999999999
107,-100,0.8939999999999999
108,-100,0.8929999999999999
109,-100,0.8919999999999999
110,-100,0.8909999999999999
111,-100,0.8899999999999999
112,-80,0.8889999999999999
113,-100,0.8879999999999999
114,-100,0.8869999999999999
115,-100,0.8859999999999999
116,-90,0.8849999999999999
117,-100,0.8839999999999999
118,-100,0.8829999999999999
119,-100,0.8819999999999999
120,-100,0.8809999999999999
121,-90,0.8799999999999999
122,-100,0.8789999999999999
123,-100,0.8779999999999999
124,-100,0.8769999999999999
125,-100,0.8759999999999999
126,-90,0.8749999999999999
127,-100,0.8739999999999999
128,-100,0.8729999999999999
129,-100,0.8719999999999999
130,-90,0.8709999999999999
131,-100,0.8699999999999999
132,-100,0.8689999999999999
133,-100,0.8679999999999999
134,-90,0.8669999999999999
135,-90,0.8659999999999999
136,-70,0.8649999999999999
137,-90,0.8639999999999999
138,-100,0.8629999999999999
139,-100,0.8619999999999999
140,-90,0.8609999999999999
141,-100,0.8599999999999999
142,-100,0.8589999999999999
143,-100,0.8579999999999999
144,-100,0.8569999999999999
145,-100,0.8559999999999999
146,-70,0.8549999999999999
147,-100,0.8539999999999999
148,-100,0.8529999999999999
149,-100,0.8519999999999999
150,-100,0.8509999999999999
151,-90,0.8499999999999999
152,-90,0.8489999999999999
153,-100,0.8479999999999999
154,-90,0.8469999999999999
155,-100,0.8459999999999999
156,-100,0.8449999999999999
157,-100,0.8439999999999999
158,-100,0.8429999999999999
159,-100,0.8419999999999999
160,-90,0.8409999999999999
161,-100,0.8399999999999999
162,-100,0.8389999999999999
163,-100,0.8379999999999999
164,-100,0.8369999999999999
165,-90,0.8359999999999999
166,-100,0.8349999999999999
167,-90,0.8339999999999999
168,-100,0.8329999999999999
169,-100,0.8319999999999999
170,-100,0.8309999999999998
171,-100,0.8299999999999998
172,-100,0.8289999999999998
173,-90,0.8279999999999998
174,-90,0.8269999999999998
175,-100,0.8259999999999998
176,-80,0.8249999999999998
177,-100,0.8239999999999998
178,-100,0.8229999999999998
179,-100,0.8219999999999998
180,-100,0.8209999999999998
181,-100,0.8199999999999998
182,-100,0.8189999999999998
183,-70,0.8179999999999998
184,-100,0.8169999999999998
185,-100,0.8159999999999998
186,-100,0.8149999999999998
187,-100,0.8139999999999998
188,-100,0.8129999999999998
189,-100,0.8119999999999998
190,-100,0.8109999999999998
191,-100,0.8099999999999998
192,-100,0.8089999999999998
193,-100,0.8079999999999998
194,-90,0.8069999999999998
195,-100,0.8059999999999998
196,-100,0.8049999999999998
197,-90,0.8039999999999998
198,-90,0.8029999999999998
199,-100,0.8019999999999998
200,-90,0.8009999999999998
201,-100,0.7999999999999998
202,-100,0.7989999999999998
203,-80,0.7979999999999998
204,-100,0.7969999999999998
205,-100,0.7959999999999998
206,-100,0.7949999999999998
207,-100,0.7939999999999998
208,-100,0.7929999999999998
209,-100,0.7919999999999998
210,-100,0.7909999999999998
211,-100,0.7899999999999998
212,-100,0.7889999999999998
213,-100,0.7879999999999998
214,-100,0.7869999999999998
215,-100,0.7859999999999998
216,-100,0.7849999999999998
217,-100,0.7839999999999998
218,-90,0.7829999999999998
219,-90,0.7819999999999998
220,-90,0.7809999999999998
221,-90,0.7799999999999998
222,-100,0.7789999999999998
223,-100,0.7779999999999998
224,-100,0.7769999999999998
225,-90,0.7759999999999998
226,-90,0.7749999999999998
227,-100,0.7739999999999998
228,-100,0.7729999999999998
229,-90,0.7719999999999998
230,-100,0.7709999999999998
231,-100,0.7699999999999998
232,-90,0.7689999999999998
233,-100,0.7679999999999998
234,-100,0.7669999999999998
235,-100,0.7659999999999998
236,-90,0.7649999999999998
237,-100,0.7639999999999998
238,-100,0.7629999999999998
239,-100,0.7619999999999998
240,-100,0.7609999999999998
241,-90,0.7599999999999998
242,-90,0.7589999999999998
243,-100,0.7579999999999998
244,-100,0.7569999999999998
245,-100,0.7559999999999998
246,-100,0.7549999999999998
247,-100,0.7539999999999998
248,-100,0.7529999999999998
249,-100,0.7519999999999998
250,-100,0.7509999999999998
251,-90,0.7499999999999998
252,-90,0.7489999999999998
253,-80,0.7479999999999998
254,-90,0.7469999999999998
255,-100,0.7459999999999998
256,-90,0.7449999999999998
257,-90,0.7439999999999998
258,-100,0.7429999999999998
259,-100,0.7419999999999998
260,-90,0.7409999999999998
261,-90,0.7399999999999998
262,-70,0.7389999999999998
263,-100,0.7379999999999998
264,-80,0.7369999999999998
265,-100,0.7359999999999998
266,-100,0.7349999999999998
267,-90,0.7339999999999998
268,-100,0.7329999999999998
269,-90,0.7319999999999998
270,-100,0.7309999999999998
271,-100,0.7299999999999998
