Episodes,Episodic Return,Epsilon
1,-5,1.0
2,12,0.9925
3,-39,0.9850000000000001
4,-21,0.9775000000000001
5,-90,0.9700000000000002
6,-29,0.9625000000000002
7,-54,0.9550000000000003
8,2,0.9475000000000003
9,-81,0.9400000000000004
10,-58,0.9325000000000004
11,-34,0.9250000000000005
12,-18,0.9175000000000005
13,-76,0.9100000000000006
14,-36,0.9025000000000006
15,-64,0.8950000000000007
16,-30,0.8875000000000007
17,2,0.8800000000000008
18,-46,0.8725000000000008
19,-110,0.8650000000000009
20,15,0.8575000000000009
21,-61,0.850000000000001
22,-2,0.842500000000001
23,5,0.8350000000000011
24,-99,0.8275000000000011
25,-123,0.8200000000000012
26,-18,0.8125000000000012
27,0,0.8050000000000013
28,-38,0.7975000000000013
29,-3,0.7900000000000014
30,5,0.7825000000000014
31,-21,0.7750000000000015
32,-17,0.7675000000000015
33,-9,0.7600000000000016
34,-50,0.7525000000000016
35,-31,0.7450000000000017
36,-28,0.7375000000000017
37,-28,0.7300000000000018
38,29,0.7225000000000018
39,-47,0.7150000000000019
40,-24,0.7075000000000019
41,3,0.700000000000002
42,24,0.692500000000002
43,5,0.685000000000002
44,-9,0.6775000000000021
45,-68,0.6700000000000021
46,-17,0.6625000000000022
47,9,0.6550000000000022
48,15,0.6475000000000023
49,2,0.6400000000000023
50,-57,0.6325000000000024
51,-6,0.6250000000000024
52,-29,0.6175000000000025
53,-3,0.6100000000000025
54,22,0.6025000000000026
55,-17,0.5950000000000026
56,23,0.5875000000000027
57,-38,0.5800000000000027
58,0,0.5725000000000028
59,-1,0.5650000000000028
60,9,0.5575000000000029
61,16,0.5500000000000029
62,31,0.542500000000003
63,17,0.535000000000003
64,14,0.5275000000000031
65,6,0.5200000000000031
66,28,0.5125000000000032
67,31,0.5050000000000032
68,36,0.4975000000000032
69,43,0.4900000000000032
70,14,0.4825000000000032
71,-10,0.4750000000000032
72,18,0.4675000000000032
73,15,0.4600000000000032
74,9,0.4525000000000032
75,34,0.44500000000000317
76,14,0.43750000000000316
77,37,0.43000000000000316
78,18,0.42250000000000315
79,40,0.41500000000000314
80,67,0.40750000000000314
81,36,0.40000000000000313
82,32,0.3925000000000031
83,22,0.3850000000000031
84,31,0.3775000000000031
85,19,0.3700000000000031
86,21,0.3625000000000031
87,36,0.3550000000000031
88,54,0.3475000000000031
89,88,0.3400000000000031
90,83,0.33250000000000307
91,30,0.32500000000000306
92,47,0.31750000000000306
93,63,0.31000000000000305
94,33,0.30250000000000304
95,102,0.29500000000000304
96,32,0.28750000000000303
97,45,0.280000000000003
98,34,0.272500000000003
99,38,0.265000000000003
100,66,0.257500000000003
101,39,0.250000000000003
102,54,0.242500000000003
103,48,0.23500000000000298
104,22,0.22750000000000298
105,44,0.22000000000000297
106,49,0.21250000000000296
107,56,0.20500000000000296
108,39,0.19750000000000295
109,42,0.19000000000000294
110,82,0.18250000000000294
111,37,0.17500000000000293
112,37,0.16750000000000292
113,33,0.16000000000000292
114,65,0.1525000000000029
115,29,0.1450000000000029
116,40,0.1375000000000029
117,56,0.1300000000000029
118,30,0.12250000000000288
119,78,0.11500000000000288
120,39,0.10750000000000287
121,36,0.10000000000000286
122,35,0.09250000000000286
123,87,0.08500000000000285
124,38,0.07750000000000284
125,57,0.07000000000000284
126,82,0.06250000000000283
127,84,0.05500000000000283
128,49,0.04750000000000283
129,76,0.04000000000000283
130,39,0.03250000000000283
131,57,0.025000000000002832
132,78,0.017500000000002833
133,87,0.010000000000002833
134,48,0.0025000000000028333
135,97,0.01
136,108,0.01
137,105,0.01
138,119,0.01
139,44,0.01
140,64,0.01
141,151,0.01
142,137,0.01
143,60,0.01
144,60,0.01
145,39,0.01
146,69,0.01
147,38,0.01
148,40,0.01
149,120,0.01
150,75,0.01
151,59,0.01
152,79,0.01
153,69,0.01
154,77,0.01
155,57,0.01
156,162,0.01
157,49,0.01
158,35,0.01
159,49,0.01
160,128,0.01
161,46,0.01
162,36,0.01
163,74,0.01
164,77,0.01
165,58,0.01
166,79,0.01
167,108,0.01
168,90,0.01
169,149,0.01
170,46,0.01
171,89,0.01
172,37,0.01
173,55,0.01
174,87,0.01
175,98,0.01
176,129,0.01
177,48,0.01
178,59,0.01
179,50,0.01
180,49,0.01
181,47,0.01
182,98,0.01
183,99,0.01
184,55,0.01
185,109,0.01
186,59,0.01
187,90,0.01
188,79,0.01
189,59,0.01
190,68,0.01
191,99,0.01
192,88,0.01
193,60,0.01
194,88,0.01
195,40,0.01
196,158,0.01
197,40,0.01
198,99,0.01
199,48,0.01
200,49,0.01
